Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	Confidence
1	Spectrogram 1	1	3.296	3.913	107.1	606.6	humpback_call	0.4493
2	Spectrogram 1	1	6.330	7.553	50.0	670.6	humpback_call	0.2687
3	Spectrogram 1	1	8.484	9.254	174.4	483.0	humpback_call	0.2791
4	Spectrogram 1	1	10.200	11.008	89.7	497.1	humpback_call	0.4719
5	Spectrogram 1	1	10.984	11.583	135.9	624.8	humpback_call	0.2679
6	Spectrogram 1	1	11.610	12.661	209.2	478.3	humpback_call	0.2613
7	Spectrogram 1	1	13.287	13.951	82.8	490.9	humpback_call	0.4402
8	Spectrogram 1	1	13.327	13.858	393.7	826.9	humpback_call	0.1688
9	Spectrogram 1	1	14.101	14.832	195.9	642.8	humpback_call	0.3566
10	Spectrogram 1	1	15.677	16.837	211.2	500.4	humpback_call	0.2290
11	Spectrogram 1	1	17.201	17.856	77.1	490.7	humpback_call	0.4075
12	Spectrogram 1	1	18.158	18.808	204.7	617.8	humpback_call	0.3844
13	Spectrogram 1	1	20.270	20.848	110.0	475.8	humpback_call	0.4475
14	Spectrogram 1	1	21.544	22.141	154.4	645.0	humpback_call	0.2473
15	Spectrogram 1	1	22.806	24.361	197.4	478.3	humpback_call	0.1579
16	Spectrogram 1	1	26.537	27.603	185.0	520.9	humpback_call	0.3871
17	Spectrogram 1	1	27.984	28.733	123.2	460.4	humpback_call	0.4607
18	Spectrogram 1	1	31.468	32.495	94.3	418.6	humpback_call	0.1657
19	Spectrogram 1	1	32.525	34.012	153.8	484.8	humpback_call	0.2581
20	Spectrogram 1	1	34.307	34.957	576.3	872.2	humpback_call	0.2173
21	Spectrogram 1	1	35.004	35.631	99.7	500.6	humpback_call	0.1799
22	Spectrogram 1	1	35.560	36.332	135.8	482.5	humpback_call	0.5579
23	Spectrogram 1	1	37.726	38.358	311.3	854.1	humpback_call	0.4020
24	Spectrogram 1	1	38.397	39.934	143.2	489.1	humpback_call	0.1854
25	Spectrogram 1	1	42.419	43.126	132.3	493.8	humpback_call	0.4596
26	Spectrogram 1	1	43.192	43.817	585.9	904.6	humpback_call	0.2699
27	Spectrogram 1	1	43.562	44.981	147.4	454.8	humpback_call	0.2423
28	Spectrogram 1	1	45.161	46.524	180.3	478.2	humpback_call	0.2167
29	Spectrogram 1	1	46.477	47.118	128.1	481.5	humpback_call	0.4344
30	Spectrogram 1	1	48.481	49.362	231.2	487.9	humpback_call	0.2034
31	Spectrogram 1	1	49.496	50.973	78.4	514.5	humpback_call	0.2084
32	Spectrogram 1	1	54.705	55.645	144.0	456.9	humpback_call	0.5208
33	Spectrogram 1	1	57.750	58.714	171.5	462.3	humpback_call	0.2683
34	Spectrogram 1	1	58.980	59.992	218.2	535.1	humpback_call	0.2322
35	Spectrogram 1	1	61.687	62.261	318.3	804.1	humpback_call	0.3462
36	Spectrogram 1	1	61.989	63.534	99.9	418.1	humpback_call	0.2144
37	Spectrogram 1	1	63.221	63.780	121.7	590.9	humpback_call	0.3010
38	Spectrogram 1	1	64.152	64.947	128.7	482.6	humpback_call	0.3993
39	Spectrogram 1	1	65.839	67.453	131.7	403.8	humpback_call	0.3469
40	Spectrogram 1	1	67.577	68.392	163.3	488.2	humpback_call	0.3778
41	Spectrogram 1	1	69.080	69.824	91.7	414.9	humpback_call	0.1979
42	Spectrogram 1	1	71.266	72.544	378.8	637.9	humpback_call	0.2684
43	Spectrogram 1	1	73.559	75.419	99.1	483.6	humpback_call	0.3554
44	Spectrogram 1	1	76.602	77.173	352.1	620.5	humpback_call	0.1875
45	Spectrogram 1	1	77.524	78.687	138.0	498.4	humpback_call	0.1801
46	Spectrogram 1	1	79.041	79.996	96.7	420.2	humpback_call	0.3655
47	Spectrogram 1	1	83.884	84.590	306.2	631.7	humpback_call	0.2949
48	Spectrogram 1	1	84.372	86.067	141.3	458.0	humpback_call	0.2910
49	Spectrogram 1	1	85.977	86.905	489.9	859.0	humpback_call	0.3290
50	Spectrogram 1	1	86.778	87.735	93.8	395.0	humpback_call	0.3226
51	Spectrogram 1	1	87.961	89.126	425.1	741.2	humpback_call	0.1856
52	Spectrogram 1	1	88.943	89.717	151.8	457.1	humpback_call	0.4242
53	Spectrogram 1	1	90.786	91.759	82.3	400.2	humpback_call	0.4120
54	Spectrogram 1	1	91.589	92.351	274.0	619.4	humpback_call	0.3735
55	Spectrogram 1	1	93.643	94.940	429.5	760.8	humpback_call	0.2156
56	Spectrogram 1	1	95.374	96.360	60.5	441.2	humpback_call	0.1967
57	Spectrogram 1	1	96.422	97.207	385.8	689.5	humpback_call	0.2338
58	Spectrogram 1	1	98.415	99.625	90.6	540.8	humpback_call	0.1530
59	Spectrogram 1	1	99.155	100.408	160.0	612.1	humpback_call	0.3179
60	Spectrogram 1	1	103.673	104.479	195.0	561.8	humpback_call	0.4759
61	Spectrogram 1	1	104.818	105.516	89.8	408.7	humpback_call	0.2723
62	Spectrogram 1	1	105.801	107.289	178.3	458.7	humpback_call	0.3215
63	Spectrogram 1	1	109.015	109.997	225.4	574.4	humpback_call	0.5031
64	Spectrogram 1	1	110.613	111.912	108.2	453.7	humpback_call	0.3250
65	Spectrogram 1	1	112.029	112.887	187.8	578.3	humpback_call	0.4706
66	Spectrogram 1	1	114.632	115.778	115.6	399.8	humpback_call	0.4331
67	Spectrogram 1	1	116.163	117.071	183.3	590.6	humpback_call	0.3186
68	Spectrogram 1	1	117.111	118.138	159.0	460.0	humpback_call	0.2748
69	Spectrogram 1	1	120.648	121.498	151.0	479.8	humpback_call	0.5114
