begin_time	end_time	filename	call_length	label
0.786269784	0.807425025	180912_073707	0.021155241	0
1.241107462	2.221300286	180912_073707	0.980192824	1
2.799543536	2.82422465	180912_073707	0.024681114	0
4.040650997	4.090013226	180912_073707	0.049362229	0
4.414393585	4.516643916	180912_073707	0.102250331	0
4.897438251	4.927776559	180912_073707	0.030338308	0
6.993938413	7.24427543	180912_073707	0.250337017	0
7.77315645	8.635846677	180912_073707	0.862690227	0
9.64424649	9.651298237	180912_073707	0.007051747	0
10.8254141	10.8783022	180912_073707	0.052888102	0
11.56584753	11.59758039	180912_073707	0.031732861	0
11.85144328	11.93959012	180912_073707	0.088146837	0
12.72938578	12.76463764	180912_073707	0.035251867	0
14.08331432	14.1785129	180912_073707	0.095198583	0
14.69329043	14.72501844	180912_073707	0.031728006	0
16.9357411	16.98157746	180912_073707	0.045836356	0
17.18960399	17.2283886	180912_073707	0.038784608	0
17.59155357	18.12748634	180912_073707	0.535932767	0
19.0089547	19.0265841	180912_073707	0.017629397	0
20.22538108	20.47219222	180912_073707	0.246811143	0
20.8071502	21.16678692	180912_073707	0.359636713	0
23.9733822	24.03684792	180912_073707	0.063465722	0
24.33654717	24.75965201	180912_073707	0.423104846	0
25.00293728	25.40136098	180912_073707	0.398423702	0
25.59175815	25.63759451	180912_073707	0.045836355	0
27.71080811	27.80248082	180912_073707	0.09167271	0
28.7086303	28.72273382	180912_073707	0.014103523	0
30.7994733	30.83825791	180912_073707	0.038784608	0
31.11327604	31.15558652	180912_073707	0.042310482	0
33.05603232	33.37688683	180912_073707	0.320854515	0
37.46337419	37.56561761	180912_073707	0.102243428	0
37.83005812	38.22143008	180912_073707	0.391371955	0
38.46471535	38.79614746	180912_073707	0.331432107	0
39.11347607	39.22630402	180912_073707	0.112827951	0
39.64235709	39.67408995	180912_073707	0.031732861	0
41.30656937	41.32419168	180912_073707	0.017622315	0
41.79665873	42.38900547	180912_073707	0.592346743	0
42.79800679	42.82621378	180912_073707	0.028206988	0
46.34856138	46.35207875	180912_073707	0.003517372	0
72.24028787	72.25635314	180912_075945	0.016065269	0
72.87486601	73.04622888	180912_075945	0.171362872	0
73.43982798	73.67840144	180912_075945	0.238573464	0
74.13358407	74.875264	180912_075945	0.741679931	0
75.24208765	75.31973496	180912_075945	0.077647308	0
75.88201938	76.88341939	180912_075945	1.001400006	0
77.43767117	78.30519278	180912_075945	0.867521608	0
80.03220923	80.05095093	180912_075945	0.0187417	0
80.76585541	81.47004785	180912_075945	0.704192436	0
82.76865711	82.77668895	180912_075945	0.008031834	0
84.41534529	84.93478777	180912_075945	0.51944248	0
85.37658268	85.64165778	180912_075945	0.265075106	0
87.45971075	87.6685571	180912_075945	0.208846343	0
88.32187805	88.6351508	180912_075945	0.313272751	0
89.54551605	89.71687733	180912_075945	0.171361273	0
90.61653241	91.79732749	180912_075945	1.180795081	0
92.22037958	92.8067602	180912_075945	0.586380622	0
95.33703888	95.36071286	180912_075945	0.02367398	0
95.81321794	95.84267094	180912_075945	0.029452994	0
98.18016589	98.24442696	180912_075945	0.064261077	0
98.80671139	99.30205495	180912_075945	0.495343563	0
99.77330285	100.0089254	180912_075945	0.235622539	0
102.0331493	102.0893757	180912_075945	0.056226416	0
104.1484077	104.3224467	180912_075945	0.174038966	0
107.1981299	107.5409519	180912_075945	0.342821953	0
108.2745992	108.7806532	180912_075945	0.506054009	0
109.723149	110.6388672	180912_075945	0.915718268	0
111.3564493	111.7152389	180912_075945	0.35878968	0
114.4891754	115.0327153	180912_075945	0.543539901	0
115.7208444	115.7502956	180912_075945	0.02945121	0
