begin_time,end_time,filename,call_length,label,Top freq (Hz),Species,Call Type,Bottom freq (Hz),Comments
16.7913,19.63209,ICLISTENHF1251_20130520T173843.692Z,2.840790000000002,0.0,6357.87,Oo,PC,1373.52,BKW
20.64536,37.68998,ICLISTENHF1251_20130520T173843.692Z,17.04462,0.0,4035.0,Oo,PC,1396.52,BKW
38.54041,52.56332,ICLISTENHF1251_20130520T173843.692Z,14.022909999999996,0.0,3456.32,Oo,PC,1306.42,BKW
53.269,189.02895,ICLISTENHF1251_20130520T173843.692Z,135.75995,0.0,3924.17,Oo,PC,1200.66,BKW
190.27744,197.4608,ICLISTENHF1251_20130520T173843.692Z,7.183359999999993,0.0,11585.24,Oo,PC,1516.37,BKW
199.14355,209.47527,ICLISTENHF1251_20130520T173843.692Z,10.33171999999999,0.0,6778.43,Oo,PC,908.88,BKW
211.48372,241.41134,ICLISTENHF1251_20130520T173843.692Z,29.92761999999999,0.0,3979.27,Oo,PC,1396.52,BKW
242.4246,249.57176,ICLISTENHF1251_20130520T173843.692Z,7.147160000000014,0.0,4692.26,Oo,PC,1467.44,BKW
250.4222,252.15923,ICLISTENHF1251_20130520T173843.692Z,1.7370300000000043,0.0,7131.33,Oo,PC,1396.52,BKW
252.81062,264.62606,ICLISTENHF1251_20130520T173843.692Z,11.815439999999995,0.0,6440.19,Oo,PC,1467.44,BKW
265.53076,275.48251,ICLISTENHF1251_20130520T173843.692Z,9.951750000000004,0.0,6865.26,Oo,PC,1350.85,BKW
276.51387,284.42099,ICLISTENHF1251_20130520T173843.692Z,7.90712000000002,0.0,6440.19,Oo,PC,1396.52,BKW
285.41615,289.99396,ICLISTENHF1251_20130520T173843.692Z,4.5778099999999995,0.0,3869.72,Oo,PC,1350.85,BKW
2.65983,47.09891,ICLISTENHF1251_20130520T174343.693Z,44.43908,0.0,6692.51,Oo,PC,1284.67,BKW
48.076,50.53679,ICLISTENHF1251_20130520T174343.693Z,2.460790000000003,0.0,5224.35,Oo,PC,1306.42,BKW
51.51387,52.72618,ICLISTENHF1251_20130520T174343.693Z,1.2123100000000022,0.0,6116.14,Oo,PC,1373.52,BKW
53.79372,57.68395996,ICLISTENHF1251_20130520T174343.693Z,3.8902399600000024,0.0,10422.05,Oo,PC,691.54,BKW
58.66104007,63.96261001,ICLISTENHF1251_20130520T174343.693Z,5.30156994,0.0,8594.22,Oo,PC,731.13,BKW
65.1025331,77.80458,ICLISTENHF1251_20130520T174343.693Z,12.7020469,0.0,7313.45,Oo,PC,1160.41,BKW
172.02051,179.9819,ICLISTENHF1251_20130520T184343.704Z,7.961389999999994,0.0,6778.43,Oo,PC,1541.34,BKW
77.4608,157.14716,ICLISTENHF1251_20130520T185343.707Z,79.68636000000001,0.0,8283.22,Oo,PC,772.58,BKW
158.48613,170.71773,ICLISTENHF1251_20130520T185343.707Z,12.231599999999986,0.0,4820.85,Oo,PC,1221.22,BKW
171.76719,190.56695,ICLISTENHF1251_20130520T185343.707Z,18.799759999999992,0.0,5655.61,Oo,PC,830.89,BKW
192.23159,206.14596,ICLISTENHF1251_20130520T185343.707Z,13.914369999999991,0.0,9023.95,Oo,PC,830.89,BKW
207.73824,220.82026,ICLISTENHF1251_20130520T185343.707Z,13.08202,0.0,4148.43,Oo,PC,425.73,BKW
222.59349,225.14475,ICLISTENHF1251_20130520T185343.707Z,2.551259999999985,0.0,9586.17,Oo,PC,892.8,BKW
229.1616406,232.40047,ICLISTENHF1251_20130520T185343.707Z,3.2388294000000144,0.0,5959.28,Oo,PC,629.54,BKW
233.8842,234.87937,ICLISTENHF1251_20130520T185343.707Z,0.9951700000000017,0.0,12276.87,Oo,PC,1046.3,BKW
236.39928,238.02774,ICLISTENHF1251_20130520T185343.707Z,1.6284599999999898,0.0,6607.51,Oo,PC,846.02,BKW
240.9047,242.18938,ICLISTENHF1251_20130520T185343.707Z,1.2846800000000087,0.0,3263.86,Oo,PC,801.29,BKW
245.98914,248.37756,ICLISTENHF1251_20130520T185343.707Z,2.3884199999999964,0.0,11186.07,Oo,PC,908.88,BKW
249.89746,251.9421,ICLISTENHF1251_20130520T185343.707Z,2.0446400000000153,0.0,7405.95,Oo,PC,509.27,BKW
253.11821,254.04101,ICLISTENHF1251_20130520T185343.707Z,0.9227999999999952,0.0,6607.51,Oo,PC,1644.67,BKW
255.3076,256.04946,ICLISTENHF1251_20130520T185343.707Z,0.7418600000000026,0.0,11857.88,Oo,PC,1443.47,BKW
257.82268,261.60433,ICLISTENHF1251_20130520T185343.707Z,3.7816500000000133,0.0,8914.87,Oo,PC,376.64,BKW
263.75754,266.72496,ICLISTENHF1251_20130520T185343.707Z,2.967420000000004,0.0,4264.47,Oo,PC,786.83,BKW
269.49337,272.4608,ICLISTENHF1251_20130520T185343.707Z,2.967429999999979,0.0,2217.8,Oo,PC,540.0,BKW
275.97105,279.02894,ICLISTENHF1251_20130520T185343.707Z,3.0578899999999862,0.0,13608.55,Oo,PC,892.8,BKW
280.18696,286.30277,ICLISTENHF1251_20130520T185343.707Z,6.11581000000001,0.0,7405.95,Oo,PC,641.55,BKW
287.4608,291.22437,ICLISTENHF1251_20130520T185343.707Z,3.7635700000000156,0.0,12276.87,Oo,PC,941.74,BKW
292.70808,298.1725,ICLISTENHF1251_20130520T185343.707Z,5.464420000000018,0.0,11186.07,Oo,PC,941.74,BKW
12.99156,32.91315,ICLISTENHF1251_20130520T185843.706Z,19.921590000000002,0.0,9586.17,Oo,PC,1140.7,BKW
34.54162,45.25332,ICLISTENHF1251_20130520T185843.706Z,10.7117,0.0,7041.7,Oo,PC,958.54,BKW
49.34258,50.8263,ICLISTENHF1251_20130520T185843.706Z,1.4837200000000053,0.0,9245.44,Oo,PC,678.75,BKW
53.17853,54.82508,ICLISTENHF1251_20130520T185843.706Z,1.6465499999999977,0.0,14891.3,Oo,PC,861.39,BKW
56.54403,60.37997,ICLISTENHF1251_20130520T185843.706Z,3.835940000000001,0.0,10056.68,Oo,PC,1028.25,BKW
61.79131,62.94933,ICLISTENHF1251_20130520T185843.706Z,1.1580200000000005,0.0,13454.9,Oo,PC,1102.14,BKW
64.12545,70.07841,ICLISTENHF1251_20130520T185843.706Z,5.9529600000000045,0.0,13302.69,Oo,PC,1140.7,BKW
71.45356,74.74667,ICLISTENHF1251_20130520T185843.706Z,3.2931099999999986,0.0,9023.95,Oo,PC,815.98,BKW
76.13993,77.38842,ICLISTENHF1251_20130520T185843.706Z,1.2484899999999897,0.0,12135.86,Oo,PC,1160.41,BKW
78.49216,88.89626,ICLISTENHF1251_20130520T185843.706Z,10.4041,0.0,6195.85,Oo,PC,1064.66,BKW
90.01809,95.71773,ICLISTENHF1251_20130520T185843.706Z,5.699640000000002,0.0,6778.43,Oo,PC,1725.9,BKW
96.82147,102.79252,ICLISTENHF1251_20130520T185843.706Z,5.971049999999991,0.0,6607.51,Oo,PC,861.39,BKW
104.24004,105.94089,ICLISTENHF1251_20130520T185843.706Z,1.7008500000000026,0.0,8385.83,Oo,PC,908.88,BKW
107.26175,108.51025,ICLISTENHF1251_20130520T185843.706Z,1.2484999999999928,0.0,9819.07,Oo,PC,1263.22,BKW
109.5778,124.07116,ICLISTENHF1251_20130520T185843.706Z,14.49336000000001,0.0,7981.67,Oo,PC,1306.42,BKW
125.39204,126.31484,ICLISTENHF1251_20130520T185843.706Z,0.9228000000000094,0.0,14398.95,Oo,PC,509.27,BKW
127.79855,132.26779,ICLISTENHF1251_20130520T185843.706Z,4.469239999999985,0.0,7499.42,Oo,PC,876.98,BKW
133.38963,134.02291,ICLISTENHF1251_20130520T185843.706Z,0.633279999999985,0.0,2991.95,Oo,PC,1064.66,BKW
135.45235,141.26055,ICLISTENHF1251_20130520T185843.706Z,5.808199999999999,0.0,4148.43,Oo,PC,908.88,BKW
144.1737,153.9807,ICLISTENHF1251_20130520T185843.706Z,9.807000000000016,0.0,3311.11,Oo,PC,1221.22,BKW
155.41013,159.77081,ICLISTENHF1251_20130520T185843.706Z,4.360680000000002,0.0,3606.8,Oo,PC,666.16,BKW
160.72979,162.8468,ICLISTENHF1251_20130520T185843.706Z,2.1170099999999934,0.0,6357.87,Oo,PC,892.8,BKW
164.29432,165.81421,ICLISTENHF1251_20130520T185843.706Z,1.5198900000000037,0.0,4443.66,Oo,PC,861.39,BKW
166.75513,175.4222,ICLISTENHF1251_20130520T185843.706Z,8.667069999999995,0.0,3505.89,Oo,PC,908.88,BKW
176.43546,178.73341,ICLISTENHF1251_20130520T185843.706Z,2.297949999999986,0.0,3924.17,Oo,PC,830.89,BKW
