label,Selection,Delta Time (s),begin_time,View,StartMicInWater,EndMicInWater,Low Freq (Hz),High Freq (Hz),filepath,call_length,end_time,Delta Freq (Hz),channel,filename,split_type
0,2,0.1969999999999999,1032.106,Spectrogram 1,1031.939,4277.935,6827.2,12191.5,annotations,17.226000000000113,1049.332,5364.3,1,67407878.170708215525,train
0,3,0.142,1049.529,Spectrogram 1,1031.939,4277.935,7412.4,11703.8,annotations,4.34699999999998,1053.876,4291.4,1,67407878.170708215525,train
0,4,0.1639999999999999,1054.018,Spectrogram 1,1031.939,4277.935,7314.9,11898.9,annotations,4.821999999999889,1058.84,4584.0,1,67407878.170708215525,train
0,5,0.115,1059.004,Spectrogram 1,1031.939,4277.935,7997.6,10923.6,annotations,22.536000000000055,1081.54,2926.0,1,67407878.170708215525,train
0,6,0.185,1081.655,Spectrogram 1,1031.939,4277.935,6729.7,11313.7,annotations,3.617999999999938,1085.273,4584.0,1,67407878.170708215525,train
0,7,0.145,1085.458,Spectrogram 1,1031.939,4277.935,7119.8,10923.6,annotations,5.6159999999999854,1091.074,3803.8,1,67407878.170708215525,train
0,8,0.15,1091.219,Spectrogram 1,1031.939,4277.935,7705.0,11216.2,annotations,4.313999999999851,1095.533,3511.2,1,67407878.170708215525,train
0,9,0.163,1095.683,Spectrogram 1,1031.939,4277.935,7510.0,10435.9,annotations,6.857999999999947,1102.541,2925.9,1,67407878.170708215525,train
0,10,0.198,1102.704,Spectrogram 1,1031.939,4277.935,7217.4,10338.4,annotations,6.609000000000151,1109.313,3121.0,1,67407878.170708215525,train
0,11,0.149,1109.511,Spectrogram 1,1031.939,4277.935,7217.4,10505.7,annotations,6.587999999999965,1116.099,3288.3,1,67407878.170708215525,train
0,12,0.145,1116.248,Spectrogram 1,1031.939,4277.935,6158.5,9056.6,annotations,5.56899999999996,1121.817,2898.1,1,67407878.170708215525,train
0,13,0.242,1121.962,Spectrogram 1,1031.939,4277.935,7607.5,10045.8,annotations,5.779999999999973,1127.742,2438.3,1,67407878.170708215525,train
0,14,0.151,1127.984,Spectrogram 1,1031.939,4277.935,7314.9,9948.3,annotations,17.97199999999998,1145.956,2633.4,1,67407878.170708215525,train
