Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	3.739221221	4.156870263	8779.657	11650.317	0.4176	2870.660	-82.69	d
2	Spectrogram 1	1	200.873852438	201.348713677	8613.242	13772.110	0.4749	5158.868	-81.03	d
3	Spectrogram 1	1	251.350535281	251.676644807	3995.223	8987.676	0.3261	4992.453	-87.11	d
4	Spectrogram 1	1	250.572449395	250.772692086	6408.242	7073.902	0.2002	665.660	-80.33	un
5	Spectrogram 1	1	250.795576965	251.018704535	8072.393	10235.789	0.2231	2163.396	-89.76	d
6	Spectrogram 1	1	322.975662905	323.313214871	8322.015	13772.110	0.3376	5450.094	-88.95	d
7	Spectrogram 1	1	326.732146711	327.001044039	7365.129	11691.921	0.2689	4326.792	-92.46	d
8	Spectrogram 1	1	327.550281135	327.796293584	8113.997	10527.015	0.2460	2413.019	-92.64	d
9	Spectrogram 1	1	333.813262784	334.385384759	9320.506	14520.978	0.5721	5200.472	-87.91	d
10	Spectrogram 1	1	333.818984004	334.253796705	7989.185	11317.487	0.4348	3328.302	-89.35	d
11	Spectrogram 1	1	335.071931129	335.375155776	11650.317	13772.110	0.3032	2121.792	-88.26	d
12	Spectrogram 1	1	335.563956027	335.781362378	5368.148	11983.148	0.2174	6615.000	-87.35	d
13	Spectrogram 1	1	366.111215565	366.597519243	9278.902	12482.393	0.4863	3203.491	-89.57	d
14	Spectrogram 1	1	366.603240463	366.866416571	4619.280	9403.714	0.2632	4784.434	-87.75	d
15	Spectrogram 1	1	371.638718816	371.884731265	8634.674	14417.599	0.2460	5782.925	-92.34	d
16	Spectrogram 1	1	376.179009727	376.682477064	7399.168	9812.187	0.5035	2413.019	-89.81	d
17	Spectrogram 1	1	451.263320199	452.556315863	9562.564	16510.395	1.2930	6947.830	-94.92	d
18	Spectrogram 1	1	452.104339502	452.922473926	11517.942	13348.508	0.8181	1830.566	-92.50	d
19	Spectrogram 1	1	453.443306031	454.673368277	9479.357	16760.017	1.2301	7280.660	-92.88	d
20	Spectrogram 1	1	455.580483268	456.884921370	9520.961	17051.244	1.3044	7530.283	-90.78	d
21	Spectrogram 1	1	457.975115393	459.325323254	9562.564	16718.413	1.3502	7155.849	-89.27	d
22	Spectrogram 1	1	458.100982228	458.896231773	11434.734	13015.678	0.7952	1580.943	-86.79	d
23	Spectrogram 1	1	458.833298355	459.136523002	10145.017	10810.678	0.3032	665.660	-91.19	d
24	Spectrogram 1	1	560.315575470	561.871747241	9271.338	16635.206	1.5562	7363.868	-92.05	d
25	Spectrogram 1	1	132.735824169	133.294105001	1088.477	1309.115	0.5583	220.637	-85.64	un
26	Spectrogram 1	1	135.559592439	136.684245131	1081.123	1448.852	1.1247	367.729	-86.53	un
27	Spectrogram 1	1	162.446115018	163.634538253	227.992	330.956	1.1884	102.964	-75.09	
28	Spectrogram 1	1	197.097313085	198.722139493	441.275	573.657	1.6248	132.382	-75.47	
30	Spectrogram 1	1	201.517555984	201.998138443	492.757	566.302	0.4806	73.546	-77.58	
31	Spectrogram 1	1	225.545315186	226.277631313	375.083	507.466	0.7323	132.382	-78.28	
32	Spectrogram 1	1	208.444229377	208.879042077	500.111	676.621	0.4348	176.510	-78.43	
33	Spectrogram 1	1	226.870028568	227.545132498	455.984	558.948	0.6751	102.964	-76.23	
34	Spectrogram 1	1	249.144372349	249.418990897	353.020	588.366	0.2746	235.346	-67.98	un
35	Spectrogram 1	1	250.386787443	250.844485023	294.183	691.330	0.4577	397.147	-70.62	un
36	Spectrogram 1	1	251.928028235	252.282743859	323.601	661.912	0.3547	338.311	-66.44	un
37	Spectrogram 1	1	253.573409687	253.962452630	411.856	676.621	0.3890	264.765	-71.20	un
38	Spectrogram 1	1	255.306840097	255.661555721	316.247	558.948	0.3547	242.701	-63.77	un
39	Spectrogram 1	1	256.988878703	257.389364085	360.374	676.621	0.4005	316.247	-66.86	un
40	Spectrogram 1	1	259.147490199	259.364896549	117.673	191.219	0.2174	73.546	-56.81	un
41	Spectrogram 1	1	259.021623364	259.342011670	345.665	544.239	0.3204	198.574	-63.55	un
42	Spectrogram 1	1	260.957349436	261.254852863	110.319	198.574	0.2975	88.255	-59.78	un
43	Spectrogram 1	1	261.826974838	262.135920704	110.319	227.992	0.3089	117.673	-70.88	un
44	Spectrogram 1	1	261.929956794	262.421981692	389.793	492.757	0.4920	102.964	-79.98	
45	Spectrogram 1	1	263.074200743	263.406031489	404.502	617.785	0.3318	213.283	-51.26	un
46	Spectrogram 1	1	262.937366315	264.001513188	169.155	316.247	1.0641	147.092	-76.08	
47	Spectrogram 1	1	267.429448928	267.875704068	205.928	301.538	0.4463	95.610	-73.22	
