Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.358366595	1.018505085	558.948	845.776	0.6601	286.828	-63.42	
2	Spectrogram 1	1	1.875113363	2.833885931	360.374	1029.641	0.9588	669.267	-61.99	
3	Spectrogram 1	1	4.011526346	5.206062660	588.366	1184.087	1.1945	595.721	-54.11	
4	Spectrogram 1	1	5.166768702	6.510622056	485.402	992.868	1.3439	507.466	-57.92	
5	Spectrogram 1	1	6.542057222	8.184544654	581.012	1117.896	1.6425	536.884	-55.10	
6	Spectrogram 1	1	10.893201865	11.303807554	595.721	1154.669	0.4106	558.948	-52.28	
7	Spectrogram 1	1	14.445524597	16.072294446	581.012	1147.314	1.6268	566.302	-55.32	
8	Spectrogram 1	1	17.353277468	19.341551728	581.012	1059.059	1.9883	478.047	-54.50	
9	Spectrogram 1	1	18.610974062	19.915533458	242.701	404.502	1.3046	161.801	-64.81	
10	Spectrogram 1	1	20.072709289	20.410637325	88.255	801.649	0.3379	713.394	-62.74	
11	Spectrogram 1	1	21.927384093	22.524652250	536.884	1139.960	0.5973	603.076	-54.43	
12	Spectrogram 1	1	22.273170921	22.972603368	323.601	397.147	0.6994	73.546	-64.42	
13	Spectrogram 1	1	25.607222299	27.202556981	558.948	1139.960	1.5953	581.012	-55.57	
14	Spectrogram 1	1	26.149478915	28.507705611	2806.439	4181.745	2.3582	1375.306	-77.23	d
15	Spectrogram 1	1	29.128550143	29.765112258	11250.965	16685.998	0.6366	5435.033	-80.37	d
16	Spectrogram 1	1	30.472403497	31.281859025	11537.640	18252.369	0.8095	6714.729	-76.14	d
17	Spectrogram 1	1	28.751328149	30.110899086	595.721	1073.768	1.3596	478.047	-55.79	
18	Spectrogram 1	1	32.602523825	33.356967813	529.530	1154.669	0.7544	625.139	-57.84	
19	Spectrogram 1	1	34.630092042	34.991596453	102.964	779.585	0.3615	676.621	-59.11	
20	Spectrogram 1	1	32.869722737	34.001388719	14788.551	22027.607	1.1317	7239.056	-70.84	d
21	Spectrogram 1	1	36.116956957	37.979490552	581.012	1059.059	1.8625	478.047	-52.45	
22	Spectrogram 1	1	39.315485114	41.036560462	595.721	1162.023	1.7211	566.302	-51.45	
23	Spectrogram 1	1	43.392106987	44.020810310	558.948	1184.087	0.6287	625.139	-52.47	
24	Spectrogram 1	1	46.292001066	47.407949465	15294.769	16596.529	1.1159	1301.760	-58.83	d
25	Spectrogram 1	1	41.201354452	41.900786899	8736.792	16391.887	0.6994	7655.095	-71.68	d
26	Spectrogram 1	1	37.924238379	38.505788954	6406.981	14561.321	0.5816	8154.340	-77.63	d
27	Spectrogram 1	1	72.784749616	74.002862305	13562.830	20885.094	1.2181	7322.264	-69.41	d
28	Spectrogram 1	1	104.169570685	105.615588328	12314.717	21717.170	1.4460	9402.453	-69.99	d
29	Spectrogram 1	1	102.967175579	103.108633827	9800.840	14751.690	0.1415	4950.850	-79.35	d
30	Spectrogram 1	1	103.163645367	103.297244824	10258.482	15666.973	0.1336	5408.491	-78.57	d
31	Spectrogram 1	1	334.190482334	334.520551579	8237.547	16558.302	0.3301	8320.755	-90.26	d
32	Spectrogram 1	1	358.400074176	359.240964871	8154.340	16475.094	0.8409	8320.754	-91.34	d
33	Spectrogram 1	1	47.191406575	48.959634672	632.494	1051.705	1.7682	419.211	-51.28	
34	Spectrogram 1	1	50.836424001	51.087905330	95.610	360.374	0.2515	264.764	-52.80	
35	Spectrogram 1	1	49.445417898	49.728334394	294.183	367.729	0.2829	73.546	-59.47	
36	Spectrogram 1	1	50.419908049	51.842349318	625.139	860.486	1.4224	235.347	-49.30	
37	Spectrogram 1	1	51.810914152	53.131191131	441.275	823.713	1.3203	382.438	-58.14	
38	Spectrogram 1	1	54.669896787	54.834931410	161.801	338.311	0.1650	176.510	-54.99	
39	Spectrogram 1	1	54.858507784	55.416481984	610.430	838.422	0.5580	227.992	-48.90	
40	Spectrogram 1	1	57.056893850	57.638444424	286.829	360.374	0.5816	73.545	-61.23	
41	Spectrogram 1	1	58.243571373	58.856557113	257.410	353.020	0.6130	95.610	-61.33	
42	Spectrogram 1	1	60.058952219	60.294715965	205.928	316.247	0.2358	110.319	-59.81	
43	Spectrogram 1	1	59.115897234	59.343802189	125.028	492.757	0.2279	367.729	-54.09	
44	Spectrogram 1	1	57.866349379	60.003940678	654.557	831.067	2.1376	176.510	-51.42	
45	Spectrogram 1	1	60.758384666	60.946995663	161.801	595.721	0.1886	433.920	-60.56	
46	Spectrogram 1	1	62.216745418	62.499661913	279.474	360.374	0.2829	80.900	-62.59	
47	Spectrogram 1	1	61.124373394	62.719708077	581.012	911.968	1.5953	330.956	-49.03	
48	Spectrogram 1	1	62.648978953	62.947613031	102.964	514.820	0.2986	411.856	-54.56	
49	Spectrogram 1	1	65.446708741	66.177576355	544.239	676.621	0.7309	132.382	-49.01	
50	Spectrogram 1	1	66.019796801	66.546335834	169.155	286.829	0.5265	117.674	-64.11	
51	Spectrogram 1	1	67.261485864	67.693719399	88.255	330.956	0.4322	242.701	-54.36	
52	Spectrogram 1	1	67.670143025	68.408869430	250.056	308.892	0.7387	58.836	-58.56	
53	Spectrogram 1	1	68.613198010	68.974702421	125.028	205.928	0.3615	80.900	-60.96	
54	Spectrogram 1	1	68.927549671	70.428578856	595.721	742.812	1.5010	147.091	-45.70	
55	Spectrogram 1	1	70.758648100	71.245893176	581.012	794.294	0.4872	213.282	-50.88	
56	Spectrogram 1	1	70.766506892	71.175164052	125.028	330.956	0.4087	205.928	-53.41	
57	Spectrogram 1	1	70.247826650	70.672201393	750.167	867.840	0.4244	117.673	-62.51	
58	Spectrogram 1	1	71.134731437	72.179950712	242.701	411.856	1.0452	169.155	-62.89	
59	Spectrogram 1	1	71.566964972	72.368561709	507.466	882.549	0.8016	375.083	-57.86	
60	Spectrogram 1	1	72.360702917	73.853873310	573.657	831.067	1.4932	257.410	-49.28	
61	Spectrogram 1	1	73.052276573	74.144648597	257.410	345.665	1.0924	88.255	-61.09	
62	Spectrogram 1	1	74.987650215	77.274558554	419.211	897.258	2.2869	478.047	-55.92	
63	Spectrogram 1	1	76.637996439	77.093806348	573.657	838.422	0.4558	264.765	-50.61	
64	Spectrogram 1	1	75.317719460	75.577059581	117.673	411.856	0.2593	294.183	-53.75	
65	Spectrogram 1	1	75.616353539	76.465103025	183.864	323.601	0.8487	139.737	-61.92	
66	Spectrogram 1	1	76.803031061	77.282417345	235.346	353.020	0.4794	117.674	-60.71	
67	Spectrogram 1	1	77.863967919	78.531965200	169.155	338.311	0.6680	169.156	-64.28	
68	Spectrogram 1	1	79.192103690	79.608619642	250.056	382.438	0.4165	132.382	-60.01	
69	Spectrogram 1	1	79.726501515	80.300193297	191.219	345.665	0.5737	154.446	-63.44	
70	Spectrogram 1	1	78.964198735	79.176386107	125.028	360.374	0.2122	235.346	-53.90	
71	Spectrogram 1	1	79.750098366	81.628349544	595.721	882.549	1.8783	286.828	-52.25	
72	Spectrogram 1	1	81.541902837	82.327781992	581.012	838.422	0.7859	257.410	-52.19	
73	Spectrogram 1	1	81.046798970	82.021289121	36.773	205.928	0.9745	169.155	-58.94	
74	Spectrogram 1	1	83.050790813	84.481090874	581.012	809.004	1.4303	227.992	-49.37	
75	Spectrogram 1	1	83.710929303	84.025280965	117.673	514.820	0.3144	397.147	-53.79	
76	Spectrogram 1	1	83.176531478	83.498741931	294.183	360.374	0.3222	66.191	-63.71	
77	Spectrogram 1	1	83.514459514	83.805234801	235.346	330.956	0.2908	95.610	-60.38	
78	Spectrogram 1	1	85.708215620	86.006849699	220.637	367.729	0.2986	147.092	-58.99	
79	Spectrogram 1	1	84.969489216	85.763227161	102.964	301.538	0.7937	198.574	-60.84	
80	Spectrogram 1	1	87.020633808	87.303550303	88.255	485.402	0.2829	397.147	-54.41	
81	Spectrogram 1	1	87.240679971	87.924394835	588.366	882.549	0.6837	294.183	-51.76	
82	Spectrogram 1	1	89.739775681	90.093421301	227.992	353.020	0.3536	125.028	-60.33	
83	Spectrogram 1	1	90.528851767	92.807901314	603.075	860.486	2.2790	257.411	-49.78	
84	Spectrogram 1	1	91.487624335	91.715529290	102.964	603.075	0.2279	500.111	-53.36	
85	Spectrogram 1	1	91.919857870	93.373734305	117.673	338.311	1.4539	220.638	-60.74	
86	Spectrogram 1	1	90.245935271	91.118261133	169.155	323.601	0.8723	154.446	-65.62	
87	Spectrogram 1	1	94.156317766	95.437300787	566.302	698.685	1.2810	132.383	-47.45	
88	Spectrogram 1	1	95.712358491	97.071929428	463.338	809.004	1.3596	345.666	-57.22	
89	Spectrogram 1	1	98.187877827	98.714416860	544.239	831.067	0.5265	286.828	-52.53	
90	Spectrogram 1	1	99.516013597	99.665330636	102.964	323.601	0.1493	220.637	-51.66	
91	Spectrogram 1	1	94.942196920	95.115090334	88.255	345.665	0.1729	257.410	-54.89	
92	Spectrogram 1	1	95.091513959	95.492312328	220.637	338.311	0.4008	117.674	-56.03	
93	Spectrogram 1	1	98.423641573	98.667264111	227.992	338.311	0.2436	110.319	-62.94	
94	Spectrogram 1	1	98.942321815	99.327402600	227.992	330.956	0.3851	102.964	-62.78	
95	Spectrogram 1	1	100.110546360	101.399388172	581.012	926.677	1.2888	345.665	-55.61	
96	Spectrogram 1	1	101.399388172	103.254062976	588.366	860.486	1.8547	272.120	-50.30	
97	Spectrogram 1	1	101.996656330	102.460325030	301.538	367.729	0.4637	66.191	-58.50	
98	Spectrogram 1	1	102.098820620	102.287431617	117.673	176.510	0.1886	58.837	-57.62	
99	Spectrogram 1	1	102.892558565	103.159757478	95.610	463.338	0.2672	367.728	-56.64	
100	Spectrogram 1	1	104.623099434	106.076975870	551.593	838.422	1.4539	286.829	-51.62	
101	Spectrogram 1	1	105.951235205	106.564220945	536.884	838.422	0.6130	301.538	-50.93	
102	Spectrogram 1	1	105.149638468	105.880506081	213.283	279.474	0.7309	66.191	-60.63	
103	Spectrogram 1	1	104.780275265	105.204650009	29.418	198.574	0.4244	169.156	-59.35	
104	Spectrogram 1	1	106.579938528	107.452264389	411.856	779.585	0.8723	367.729	-60.33	
105	Spectrogram 1	1	107.122195145	107.334382516	95.610	478.048	0.2122	382.438	-53.96	
106	Spectrogram 1	1	109.063316655	109.503408982	544.239	845.776	0.4401	301.537	-55.88	
107	Spectrogram 1	1	109.272552275	109.555468770	161.801	235.346	0.2829	73.545	-58.32	
108	Spectrogram 1	1	109.689068226	110.144878136	220.637	323.601	0.4558	102.964	-59.73	
109	Spectrogram 1	1	111.213673785	111.543743030	102.964	426.566	0.3301	323.602	-55.06	
110	Spectrogram 1	1	111.001486414	112.895455175	558.948	904.613	1.8940	345.665	-51.62	
111	Spectrogram 1	1	110.215607260	110.522100130	191.219	345.665	0.3065	154.446	-63.49	
