channel,begin_time,end_time,filename,call_length,label
2,3.815648932,4.790005049,210922-112437,0.9743561170000001,1
2,776.537727963,777.332597427,210922-112437,0.794869464000044,1
2,776.537727963,777.332597427,210922-112437,0.794869464000044,1
2,780.663882042,781.522853881,210922-112437,0.8589718389999916,1
2,796.741575469,797.831315863,210922-112437,1.0897403939999322,1
2,796.741575469,797.831315863,210922-112437,1.0897403939999322,1
2,807.343876025,808.228488815,210922-112437,0.8846127900000056,1
2,807.343876025,808.228488815,210922-112437,0.8846127900000056,1
2,811.146695308,811.774898594,210922-112437,0.62820328600003,1
2,816.043913726,816.89006509,210922-112437,0.8461513639999794,1
2,816.043913726,816.89006509,210922-112437,0.8461513639999794,1
2,819.422631461,820.204680449,210922-112437,0.7820489879999286,1
2,821.079042084,822.386730557,210922-112437,1.3076884729999847,1
2,821.079042084,822.386730557,210922-112437,1.3076884729999847,1
2,830.953661521,832.043401915,210922-112437,1.0897403940000459,1
2,835.722878304,836.684413945,210922-112437,0.9615356409999549,1
2,835.722878304,836.684413945,210922-112437,0.9615356409999549,1
2,840.36263706,841.170326999,210922-112437,0.8076899390000563,1
2,840.36263706,841.170326999,210922-112437,0.8076899390000563,1
2,842.048275785,842.291864814,210922-112437,0.24358902899996338,1
2,843.125195703,843.420066634,210922-112437,0.2948709309999913,1
2,843.125195703,843.420066634,210922-112437,0.2948709309999913,1
2,843.548271386,844.458525127,210922-112437,0.9102537410000195,1
2,846.669038658,846.874166261,210922-112437,0.20512760300005084,1
2,846.669038658,846.874166261,210922-112437,0.20512760300005084,1
2,846.976730063,847.600070704,210922-112437,0.6233406410000271,1
2,851.066218458,851.284166537,210922-112437,0.21794807900005253,1
2,851.066218458,851.284166537,210922-112437,0.21794807900005253,1
2,851.365311504,852.031976215,210922-112437,0.6666647109999531,1
2,854.083252251,854.30120033,210922-112437,0.21794807900005253,1
2,854.083252251,854.30120033,210922-112437,0.21794807900005253,1
2,854.404428656,855.340323348,210922-112437,0.9358946919999198,1
2,977.969468709,979.111714774,210922-112437,1.1422460649999948,1
2,977.969468709,979.111714774,210922-112437,1.1422460649999948,1
2,1018.283335217,1019.171748824,210922-112437,0.888413607000075,1
2,1023.238848377,1024.145392874,210922-112437,0.9065444970000271,1
2,1023.238848377,1024.145392874,210922-112437,0.9065444970000271,1
2,1025.835573158,1026.071274727,210922-112437,0.2357015689999571,1
2,1026.814641215,1027.666793041,210922-112437,0.8521518259999539,1
2,1026.814641215,1027.666793041,210922-112437,0.8521518259999539,1
2,1028.501743931,1028.71931461,210922-112437,0.21757067900011862,1
2,1039.467632635,1040.229130013,210922-112437,0.7614973780000582,1
2,1039.467632635,1040.229130013,210922-112437,0.7614973780000582,1
2,1043.571366177,1043.788936856,210922-112437,0.21757067899989124,1
2,1043.897722196,1044.894921142,210922-112437,0.9971989460000259,1
2,1043.897722196,1044.894921142,210922-112437,0.9971989460000259,1
2,1045.638287629,1045.873989199,210922-112437,0.2357015700001739,1
2,1046.762402805,1046.979973485,210922-112437,0.21757068000010804,1
2,1046.762402805,1046.979973485,210922-112437,0.21757068000010804,1
2,1047.143151494,1048.122219551,210922-112437,0.9790680569999495,1
2,1047.143151494,1048.122219551,210922-112437,0.9790680569999495,1
2,1634.804886134,1635.599755598,210922-112437,0.7948694639999303,1
2,1643.932824548,1644.727694011,210922-112437,0.7948694629999409,1
2,1643.932824548,1644.727694011,210922-112437,0.7948694629999409,1
2,1649.030271669,1650.107191588,210922-112437,1.07691991899992,1
2,1651.825135267,1652.043083346,210922-112437,0.21794807900005253,1
2,1651.825135267,1652.043083346,210922-112437,0.21794807900005253,1
2,1652.940516612,1653.799488452,210922-112437,0.8589718400000947,1
2,1663.367448511,1664.111036074,210922-112437,0.7435875629998918,1
2,1663.367448511,1664.111036074,210922-112437,0.7435875629998918,1
2,1668.903349135,1669.621295747,210922-112437,0.7179466119998779,1
2,1680.580052778,1681.336460816,210922-112437,0.7564080380000178,1
2,1680.580052778,1681.336460816,210922-112437,0.7564080380000178,1
2,1685.730566616,1686.871588911,210922-112437,1.141022294999857,1
2,1685.730566616,1686.871588911,210922-112437,1.141022294999857,1
2,1690.682358595,1691.451587109,210922-112437,0.7692285139999058,1
2,1698.531319646,1699.595419089,210922-112437,1.064099443000032,1
2,1698.531319646,1699.595419089,210922-112437,1.064099443000032,1
2,1703.499793478,1704.602354347,210922-112437,1.1025608690001718,1
2,1707.35875652,1708.089523608,210922-112437,0.7307670879999932,1
2,1708.863640751,1710.286713501,210922-112437,1.4230727499998466,1
2,1708.863640751,1710.286713501,210922-112437,1.4230727499998466,1
2,1745.145177674,1746.65799375,210922-112437,1.5128160760000355,1
2,1745.145177674,1746.65799375,210922-112437,1.5128160760000355,1
2,1748.363642261,1749.530305506,210922-112437,1.1666632450001089,1
2,1748.363642261,1749.530305506,210922-112437,1.1666632450001089,1
2,1753.467486453,1755.03158443,210922-112437,1.564097977000074,1
2,1753.467486453,1755.03158443,210922-112437,1.564097977000074,1
2,1756.370052917,1757.254665707,210922-112437,0.8846127899998919,1
2,1758.965692407,1759.170820011,210922-112437,0.20512760399992658,1
2,1759.863125673,1760.619533711,210922-112437,0.7564080380000178,1
2,1759.863125673,1760.619533711,210922-112437,0.7564080380000178,1
2,1762.614413576,1764.268254879,210922-112437,1.6538413030000356,1
2,1762.614413576,1764.268254879,210922-112437,1.6538413030000356,1
2,1765.930578567,1767.263907991,210922-112437,1.333329423999885,1
2,1770.666216265,1771.589290481,210922-112437,0.9230742160000318,1
2,1770.666216265,1771.589290481,210922-112437,0.9230742160000318,1
2,1772.711345466,1774.788262452,210922-112437,2.0769169860000147,1
2,1775.989039863,1776.860832179,210922-112437,0.8717923159999827,1
2,1775.989039863,1776.860832179,210922-112437,0.8717923159999827,1
2,1779.27108152,1780.335180964,210922-112437,1.0640994440000213,1
2,1782.434677573,1784.062877926,210922-112437,1.628200353000011,1
2,1782.434677573,1784.062877926,210922-112437,1.628200353000011,1
2,1797.055192897,1797.991087588,210922-112437,0.9358946909999304,1
2,1798.892627896,1799.097755499,210922-112437,0.20512760299993715,1
2,1798.892627896,1799.097755499,210922-112437,0.20512760299993715,1
2,1800.290059695,1801.366979614,210922-112437,1.07691991899992,1
2,1800.290059695,1801.366979614,210922-112437,1.07691991899992,1
2,1803.982356559,1805.713120714,210922-112437,1.730764155000088,1
2,1807.068785843,1808.04314196,210922-112437,0.9743561170000703,1
2,1807.068785843,1808.04314196,210922-112437,0.9743561170000703,1
2,1831.246474137,1832.464419283,210922-112437,1.2179451460001474,1
2,1877.996473113,1878.688778775,210922-112437,0.6923056619998533,1
2,1877.996473113,1878.688778775,210922-112437,0.6923056619998533,1
2,1892.072485145,1893.136584589,210922-112437,1.0640994440000213,1
2,1892.072485145,1893.136584589,210922-112437,1.0640994440000213,1
2,1905.516332373,1906.567611341,210922-112437,1.051278967999906,1
2,1910.809411013,1911.476075724,210922-112437,0.6666647110000667,1
2,1910.809411013,1911.476075724,210922-112437,0.6666647110000667,1
2,1912.450431841,1913.501710809,210922-112437,1.0512789680001333,1
2,1913.85607583,1915.368891906,210922-112437,1.5128160760000355,1
2,1913.85607583,1915.368891906,210922-112437,1.5128160760000355,1
2,1917.792487904,1918.651459744,210922-112437,0.8589718400000947,1
2,1917.792487904,1918.651459744,210922-112437,0.8589718400000947,1
2,1924.570960481,1925.442752796,210922-112437,0.8717923149999933,1
2,1932.000705247,1933.000702314,210922-112437,0.9999970669998675,1
2,1932.000705247,1933.000702314,210922-112437,0.9999970669998675,1
2,1937.585833438,1938.790958108,210922-112437,1.205124670000032,1
2,1945.590962869,1946.84736944,210922-112437,1.2564065710000705,1
2,1945.590962869,1946.84736944,210922-112437,1.2564065710000705,1
2,1952.740450464,1953.881472758,210922-112437,1.1410222939998675,1
2,1952.740450464,1953.881472758,210922-112437,1.1410222939998675,1
2,1962.805574974,1963.792774974,210922-112437,0.9872000000000298,1
2,1969.638916107,1969.84404371,210922-112437,0.20512760300016453,1
2,1969.638916107,1969.84404371,210922-112437,0.20512760300016453,1
2,1970.741476976,1970.97224553,210922-112437,0.2307685539999511,1
2,1972.219974637,1973.027664576,210922-112437,0.8076899390000563,1
2,1972.219974637,1973.027664576,210922-112437,0.8076899390000563,1
2,1978.642025687,1978.885614716,210922-112437,0.24358902900007706,1
2,1978.642025687,1978.885614716,210922-112437,0.24358902900007706,1
2,1979.757407031,1980.013816535,210922-112437,0.25640950399997564,1
2,1980.988172652,1982.026631145,210922-112437,1.0384584930000074,1
2,1980.988172652,1982.026631145,210922-112437,1.0384584930000074,1
2,1997.230744347,1998.179459514,210922-112437,0.9487151670000458,1
2,2000.55124743,2001.589705923,210922-112437,1.0384584930000074,1
2,2000.55124743,2001.589705923,210922-112437,1.0384584930000074,1
2,2075.076641569,2076.640739546,210922-112437,1.564097977000074,1
2,2080.790743139,2081.508689752,210922-112437,0.7179466130000947,1
2,2080.790743139,2081.508689752,210922-112437,0.7179466130000947,1
2,2090.38971292,2091.479453314,210922-112437,1.0897403939998185,1
2,2119.800229875,2120.543817438,210922-112437,0.7435875630003466,1
2,2119.800229875,2120.543817438,210922-112437,0.7435875630003466,1
2,2122.582272998,2123.338681037,210922-112437,0.7564080389997798,1
2,2122.582272998,2123.338681037,210922-112437,0.7564080389997798,1
2,2132.248911316,2133.018139829,210922-112437,0.7692285130001437,1
