begin_time,end_time,filename,call_length,label
0.0,2.0,20090329_000000_006s2ms_TRAIN8398_0,2.0,0
0.0,2.0,20090329_000000_011s2ms_TRAIN8399_0,2.0,0
0.0,2.0,20090329_000000_029s1ms_TRAIN8400_0,2.0,0
0.0,2.0,20090329_000000_031s4ms_TRAIN8401_0,2.0,0
0.0,2.0,20090329_000000_037s0ms_TRAIN8402_0,2.0,0
0.0,2.0,20090329_000000_050s6ms_TRAIN8403_0,2.0,0
0.0,2.0,20090329_000000_055s7ms_TRAIN8404_0,2.0,0
0.0,2.0,20090329_000000_075s4ms_TRAIN8407_0,2.0,0
0.0,2.0,20090329_000000_096s3ms_TRAIN8408_0,2.0,0
0.0,2.0,20090329_000000_101s1ms_TRAIN8409_0,2.0,0
0.0,2.0,20090329_000000_103s0ms_TRAIN8410_0,2.0,0
0.0,2.0,20090329_000000_117s4ms_TRAIN8411_0,2.0,0
0.0,2.0,20090329_000000_129s4ms_TRAIN8412_0,2.0,0
0.0,2.0,20090329_000000_131s8ms_TRAIN8413_0,2.0,0
0.0,2.0,20090329_000000_152s1ms_TRAIN8414_0,2.0,0
0.0,2.0,20090329_000000_155s8ms_TRAIN8415_0,2.0,0
0.0,2.0,20090329_000000_159s4ms_TRAIN8416_0,2.0,0
0.0,2.0,20090329_000000_161s3ms_TRAIN8417_0,2.0,0
0.0,1.77,20090329_000000_172s0ms_TRAIN8419_0,1.77,0
0.0,2.0,20090329_000000_174s8ms_TRAIN8420_0,2.0,0
0.0,2.0,20090329_000000_178s9ms_TRAIN8421_0,2.0,0
0.0,2.0,20090329_000000_181s3ms_TRAIN8422_0,2.0,0
0.0,2.0,20090329_000000_202s9ms_TRAIN8425_0,2.0,0
0.0,2.0,20090329_000000_204s7ms_TRAIN8426_0,2.0,0
0.0,2.0,20090329_000000_206s8ms_TRAIN8427_0,2.0,0
0.0,2.0,20090329_000000_213s9ms_TRAIN8428_0,2.0,0
0.0,1.875,20090329_000000_217s3ms_TRAIN8429_0,1.875,0
