Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.378588223	0.842642632	565.307	689.136	0.4641	123.829	-44.36	
2	Spectrogram 1	1	1.288134864	2.791671147	376.871	996.017	1.5035	619.146	-46.14	
3	Spectrogram 1	1	3.942526081	5.217128856	592.226	807.581	1.2746	215.355	-35.22	
4	Spectrogram 1	1	5.225158588	6.697757911	506.084	850.652	1.4726	344.568	-40.55	
5	Spectrogram 1	1	6.524510931	8.207481586	559.923	1076.775	1.6830	516.852	-39.95	
6	Spectrogram 1	1	10.870336784	11.371515546	570.691	861.420	0.5012	290.729	-35.14	
7	Spectrogram 1	1	14.475452071	16.084174021	586.842	1173.685	1.6087	586.843	-40.36	
8	Spectrogram 1	1	17.346402012	19.320180096	602.994	1049.856	1.9738	446.862	-39.12	
9	Spectrogram 1	1	18.837563511	19.313992704	296.113	355.336	0.4764	59.223	-44.01	
10	Spectrogram 1	1	20.112390114	20.675442797	113.061	845.269	0.5631	732.208	-48.92	
11	Spectrogram 1	1	21.987169925	22.612096528	543.771	1604.395	0.6249	1060.624	-42.12	
12	Spectrogram 1	1	22.166604296	22.952403095	328.416	387.639	0.7858	59.223	-49.67	
13	Spectrogram 1	1	23.407713299	24.119263392	113.061	355.336	0.7116	242.275	-47.49	un
14	Spectrogram 1	1	25.579487931	27.212959449	581.459	1135.998	1.6335	554.539	-40.44	
15	Spectrogram 1	1	28.695123576	30.254346389	586.842	1135.998	1.5592	549.156	-42.02	
16	Spectrogram 1	1	32.649200823	33.045193918	1162.917	1302.898	0.3960	139.981	-59.01	
17	Spectrogram 1	1	33.026631742	33.391687877	533.004	1878.973	0.3651	1345.969	-42.63	
18	Spectrogram 1	1	32.630638647	33.360750916	306.881	371.487	0.7301	64.606	-48.78	
19	Spectrogram 1	1	34.641541084	35.272655079	102.294	786.046	0.6311	683.752	-45.69	
20	Spectrogram 1	1	36.126515191	37.976545433	624.530	877.572	1.8500	253.042	-34.66	
21	Spectrogram 1	1	39.289237100	41.269202576	597.610	1146.766	1.9800	549.156	-36.85	
22	Spectrogram 1	1	43.453351992	44.010217282	581.459	1200.604	0.5569	619.145	-36.75	
23	Spectrogram 1	1	47.179345043	47.996080802	672.984	753.743	0.8167	80.759	-30.72	
24	Spectrogram 1	1	48.033205154	48.936564403	635.297	1114.462	0.9034	479.165	-35.84	
25	Spectrogram 1	1	50.415351118	51.671391717	629.913	812.965	1.2560	183.052	-33.02	
26	Spectrogram 1	1	50.829906389	51.095964250	107.678	339.184	0.2661	231.506	-38.24	
27	Spectrogram 1	1	50.662846802	50.897967703	242.274	323.033	0.2351	80.759	-45.21	
28	Spectrogram 1	1	51.682849797	53.174011297	393.023	845.269	1.4912	452.246	-43.28	
29	Spectrogram 1	1	54.844607167	55.395285065	608.378	834.501	0.5507	226.123	-33.90	
30	Spectrogram 1	1	54.652798012	54.863169344	96.910	333.800	0.2104	236.890	-41.58	
31	Spectrogram 1	1	57.086180735	57.655420809	296.113	355.336	0.5692	59.223	-45.89	
32	Spectrogram 1	1	57.859604749	60.049941557	651.449	839.885	2.1903	188.436	-36.75	
33	Spectrogram 1	1	58.237035668	58.886711840	226.123	355.336	0.6497	129.213	-47.45	
34	Spectrogram 1	1	58.960960545	59.369328424	48.455	543.771	0.4084	495.316	-43.16	
35	Spectrogram 1	1	60.009171359	60.299978788	226.123	306.881	0.2908	80.758	-43.89	
36	Spectrogram 1	1	61.116714547	62.546002125	565.307	915.259	1.4293	349.952	-33.98	
37	Spectrogram 1	1	62.626438223	63.040993495	107.678	549.155	0.4146	441.477	-41.79	
38	Spectrogram 1	1	62.193320775	62.496502989	290.729	366.104	0.3032	75.375	-47.10	
39	Spectrogram 1	1	64.881412285	66.013705042	37.687	172.284	1.1323	134.597	-53.47	
40	Spectrogram 1	1	67.238808680	67.690488305	96.910	317.649	0.4517	220.739	-40.86	
41	Spectrogram 1	1	68.600034945	68.816593669	156.132	209.971	0.2166	53.839	-45.35	
42	Spectrogram 1	1	65.450652360	66.168389845	549.155	678.368	0.7177	129.213	-34.00	
43	Spectrogram 1	1	66.026079826	66.508696411	183.052	285.345	0.4826	102.293	-48.96	
44	Spectrogram 1	1	68.915591943	70.468627364	570.691	748.359	1.5530	177.668	-31.72	
45	Spectrogram 1	1	70.208371917	70.802361560	759.126	850.652	0.5940	91.526	-47.12	
46	Spectrogram 1	1	70.715738070	71.185979871	129.213	317.649	0.4702	188.436	-39.88	
47	Spectrogram 1	1	70.734300247	71.229291616	597.610	807.581	0.4950	209.971	-36.25	
48	Spectrogram 1	1	71.284978145	72.157400433	253.042	403.791	0.8724	150.749	-47.74	
49	Spectrogram 1	1	71.619097319	72.460582646	468.397	882.956	0.8415	414.559	-42.44	
50	Spectrogram 1	1	72.373959157	73.939369362	576.075	850.652	1.5654	274.577	-34.85	
51	Spectrogram 1	1	75.225035256	75.658152704	96.910	452.246	0.4331	355.336	-41.38	
52	Spectrogram 1	1	75.596278783	77.322561182	409.175	888.340	1.7263	479.165	-39.85	
53	Spectrogram 1	1	76.641948050	77.081252890	570.691	834.501	0.4393	263.810	-35.61	
54	Spectrogram 1	1	76.748189250	77.298867148	231.507	360.720	0.5507	129.213	-46.09	
55	Spectrogram 1	1	77.236993227	77.546362832	32.303	91.526	0.3094	59.223	-67.55	
56	Spectrogram 1	1	78.919963882	79.235520879	86.142	360.720	0.3156	274.578	-41.76	
57	Spectrogram 1	1	78.301224670	78.820965608	473.781	565.307	0.5197	91.526	-54.03	
58	Spectrogram 1	1	79.718137464	80.281190147	172.284	339.184	0.5631	166.900	-48.71	
59	Spectrogram 1	1	79.736699641	81.543418138	597.610	737.591	1.8067	139.981	-34.26	
60	Spectrogram 1	1	81.054614161	82.038409507	43.071	199.203	0.9838	156.132	-50.25	
61	Spectrogram 1	1	81.505344973	82.365392476	586.842	812.965	0.8600	226.123	-36.93	
62	Spectrogram 1	1	83.033630825	84.481480579	581.459	802.198	1.4478	220.739	-34.10	
63	Spectrogram 1	1	83.677119604	84.029800955	96.910	479.165	0.3527	382.255	-39.41	
64	Spectrogram 1	1	82.730448611	83.274939117	75.374	134.597	0.5445	59.223	-55.17	
65	Spectrogram 1	1	85.695645925	86.005015531	226.123	339.184	0.3094	113.061	-42.94	
66	Spectrogram 1	1	87.032122622	87.409553541	59.223	463.013	0.3774	403.790	-40.89	
67	Spectrogram 1	1	87.261056130	87.935481870	597.610	856.036	0.6744	258.426	-35.99	
68	Spectrogram 1	1	87.867420557	88.114916242	317.649	393.023	0.2475	75.374	-46.42	
69	Spectrogram 1	1	85.306483641	85.529229757	107.678	306.881	0.2227	199.203	-43.93	
70	Spectrogram 1	1	88.495403548	88.625338782	150.749	882.956	0.1299	732.207	-50.18	
71	Spectrogram 1	1	86.410118814	86.589553186	339.184	791.430	0.1794	452.246	-52.69	
72	Spectrogram 1	1	86.799924517	87.004108457	247.658	764.510	0.2042	516.852	-53.55	
73	Spectrogram 1	1	86.669989283	86.793737125	177.668	296.113	0.1237	118.445	-43.69	
74	Spectrogram 1	1	86.397744030	86.682364067	107.678	371.487	0.2846	263.809	-52.52	
75	Spectrogram 1	1	89.041438755	89.208498342	301.497	850.652	0.1671	549.155	-48.45	
76	Spectrogram 1	1	88.657820444	88.961002658	21.536	80.758	0.3032	59.222	-66.50	
77	Spectrogram 1	1	88.422699544	89.128062245	258.426	349.952	0.7054	91.526	-47.90	
78	Spectrogram 1	1	88.892941344	89.901486259	32.303	209.971	1.0085	177.668	-49.04	
79	Spectrogram 1	1	90.377915452	90.656348097	166.900	699.904	0.2784	533.004	-47.98	
80	Spectrogram 1	1	90.507850686	92.883809258	597.610	899.107	2.3760	301.497	-35.86	
81	Spectrogram 1	1	91.454521679	91.745329109	96.910	597.610	0.2908	500.700	-39.50	
82	Spectrogram 1	1	91.745329109	92.531127907	226.123	387.639	0.7858	161.516	-44.05	
83	Spectrogram 1	1	92.568252260	93.743856761	96.910	258.426	1.1756	161.516	-49.30	
84	Spectrogram 1	1	92.512709661	92.667394464	209.971	861.420	0.1547	651.449	-42.39	
85	Spectrogram 1	1	94.138995056	95.586844811	565.307	909.875	1.4478	344.568	-37.17	
86	Spectrogram 1	1	94.881482110	95.265100421	80.758	452.246	0.3836	371.488	-43.81	
87	Spectrogram 1	1	95.326974342	95.562095242	209.971	333.800	0.2351	123.829	-42.99	
88	Spectrogram 1	1	95.722967437	97.183191976	409.175	839.885	1.4602	430.710	-43.16	
89	Spectrogram 1	1	97.900929461	98.470169536	102.294	247.658	0.5692	145.364	-55.28	
90	Spectrogram 1	1	98.402108222	98.655791299	220.739	339.184	0.2537	118.445	-48.96	
91	Spectrogram 1	1	99.156970060	99.342591824	209.971	328.416	0.1856	118.445	-46.74	
92	Spectrogram 1	1	99.503464018	99.707647958	113.061	328.416	0.2042	215.355	-38.14	
93	Spectrogram 1	1	94.237993330	94.862919933	209.971	317.649	0.6249	107.678	-50.09	
94	Spectrogram 1	1	96.038524435	96.335519256	236.891	306.881	0.2970	69.990	-52.66	
95	Spectrogram 1	1	98.111300793	98.760976965	554.539	877.572	0.6497	323.033	-38.94	
96	Spectrogram 1	1	99.394295365	99.901661519	511.468	823.733	0.5074	312.265	-49.74	
97	Spectrogram 1	1	100.112032851	101.485633900	613.762	1055.240	1.3736	441.478	-41.54	
98	Spectrogram 1	1	101.405197802	103.292352397	581.459	990.633	1.8872	409.174	-37.19	
99	Spectrogram 1	1	102.896359302	103.230478476	75.374	533.004	0.3341	457.630	-43.76	
100	Spectrogram 1	1	101.819753074	102.419930109	285.345	409.175	0.6002	123.830	-46.86	
101	Spectrogram 1	1	103.211205475	103.768070765	473.781	872.188	0.5569	398.407	-46.70	
102	Spectrogram 1	1	104.733303934	105.580976654	21.536	183.052	0.8477	161.516	-51.87	
103	Spectrogram 1	1	105.160233990	105.865596691	209.971	301.497	0.7054	91.526	-47.34	
104	Spectrogram 1	1	104.628118269	106.069780631	549.155	904.491	1.4417	355.336	-37.50	
105	Spectrogram 1	1	105.953294527	106.503972425	597.610	877.572	0.5507	279.962	-35.38	
106	Spectrogram 1	1	107.085587284	107.351645144	75.374	522.236	0.2661	446.862	-41.26	
107	Spectrogram 1	1	106.596783307	107.518704732	463.013	829.117	0.9219	366.104	-46.03	
108	Spectrogram 1	1	106.107979330	106.788592462	199.203	387.639	0.6806	188.436	-46.09	
109	Spectrogram 1	1	108.149818727	108.453000941	204.587	565.307	0.3032	360.720	-51.90	
110	Spectrogram 1	1	109.046990584	109.449171071	559.923	866.804	0.4022	306.881	-40.56	
111	Spectrogram 1	1	109.251174523	109.603855874	161.516	220.739	0.3527	59.223	-44.94	
112	Spectrogram 1	1	109.325423229	109.937975048	344.568	425.326	0.6126	80.758	-49.79	
113	Spectrogram 1	1	110.798207729	111.262262137	118.445	209.971	0.4641	91.526	-47.28	
114	Spectrogram 1	1	111.200388216	111.522132606	107.678	452.246	0.3217	344.568	-42.39	
115	Spectrogram 1	1	110.983829492	112.945232792	554.539	985.249	1.9614	430.710	-37.54	
116	Spectrogram 1	1	113.155604124	113.941402923	215.355	323.033	0.7858	107.678	-44.04	
117	Spectrogram 1	1	113.248415006	113.483535906	441.478	495.317	0.2351	53.839	-42.17	
118	Spectrogram 1	1	112.747236245	112.889546263	382.255	441.478	0.1423	59.223	-41.82	
119	Spectrogram 1	1	111.689192193	112.177996170	468.397	538.388	0.4888	69.991	-40.82	
120	Spectrogram 1	1	114.005318658	114.221877382	446.862	516.852	0.2166	69.990	-40.22	
121	Spectrogram 1	1	114.450810890	114.617870477	409.175	479.165	0.1671	69.990	-41.36	
122	Spectrogram 1	1	114.327063048	116.214217643	565.307	861.420	1.8872	296.113	-37.73	
123	Spectrogram 1	1	115.861536292	116.146156329	113.061	355.336	0.2846	242.275	-39.40	
124	Spectrogram 1	1	116.344152877	116.591648561	409.175	484.549	0.2475	75.374	-37.38	
125	Spectrogram 1	1	117.594006084	118.478803156	258.426	409.175	0.8848	150.749	-53.86	
126	Spectrogram 1	1	117.067924016	118.008407617	484.549	899.107	0.9405	414.558	-58.00	
127	Spectrogram 1	1	118.732332494	118.992202963	419.942	484.549	0.2599	64.607	-44.51	
128	Spectrogram 1	1	118.967453395	119.580005214	581.459	856.036	0.6126	274.577	-38.03	
129	Spectrogram 1	1	119.419133019	120.019310054	96.910	446.862	0.6002	349.952	-41.48	
130	Spectrogram 1	1	120.081183975	120.885544950	183.052	371.487	0.8044	188.435	-49.31	
131	Spectrogram 1	1	120.470989678	122.116835980	549.155	893.723	1.6458	344.568	-37.32	
132	Spectrogram 1	1	121.733217669	122.512829076	32.303	236.891	0.7796	204.588	-49.89	
133	Spectrogram 1	1	122.186921580	123.715207432	613.762	872.188	1.5283	258.426	-38.18	
134	Spectrogram 1	1	124.129762703	124.439132309	107.678	726.823	0.3094	619.145	-42.04	
135	Spectrogram 1	1	125.101183265	125.713735084	161.516	253.042	0.6126	91.526	-44.44	
136	Spectrogram 1	1	125.181619363	126.852215233	608.378	818.349	1.6706	209.971	-36.29	
137	Spectrogram 1	1	124.371070996	125.559050281	463.013	882.956	1.1880	419.943	-43.12	
138	Spectrogram 1	1	125.262055460	125.899356848	942.178	1485.950	0.6373	543.772	-53.52	
139	Spectrogram 1	1	126.991864158	127.220797666	247.658	306.881	0.2289	59.223	-50.33	
140	Spectrogram 1	1	127.394044645	128.328340855	253.042	360.720	0.9343	107.678	-42.72	
141	Spectrogram 1	1	127.641540330	127.969472112	86.142	382.255	0.3279	296.113	-41.06	
142	Spectrogram 1	1	129.757628433	130.636238113	37.687	166.900	0.8786	129.213	-53.63	
143	Spectrogram 1	1	129.534882317	130.345430684	592.226	866.804	0.8105	274.578	-38.80	
144	Spectrogram 1	1	129.633880591	130.326868507	419.942	576.075	0.6930	156.133	-42.39	
145	Spectrogram 1	1	130.759985955	131.521035185	139.981	263.810	0.7610	123.829	-48.41	
146	Spectrogram 1	1	131.842779575	132.232585278	91.526	463.013	0.3898	371.487	-40.37	
147	Spectrogram 1	1	128.817144832	129.565819277	134.597	215.355	0.7487	80.758	-55.08	
148	Spectrogram 1	1	129.809617618	130.712976867	979.865	1442.879	0.9034	463.014	-53.47	
149	Spectrogram 1	1	132.898453545	135.200163412	608.378	845.269	2.3017	236.891	-37.27	
150	Spectrogram 1	1	132.669520037	133.585254070	349.952	516.852	0.9157	166.900	-43.52	
151	Spectrogram 1	1	133.108824877	133.313008817	177.668	236.891	0.2042	59.223	-42.56	
152	Spectrogram 1	1	134.005996734	135.014541648	177.668	317.649	1.0085	139.981	-48.26	
153	Spectrogram 1	1	135.119727314	135.942650465	64.607	554.539	0.8229	489.932	-43.58	
154	Spectrogram 1	1	136.140647013	136.400517482	80.758	166.900	0.2599	86.142	-50.96	
155	Spectrogram 1	1	136.530452716	137.736994178	274.578	506.084	1.2065	231.506	-43.57	
156	Spectrogram 1	1	136.518077932	137.767931139	624.530	866.804	1.2499	242.274	-37.22	
157	Spectrogram 1	1	137.859677480	138.589789750	387.639	839.885	0.7301	452.246	-50.29	
158	Spectrogram 1	1	140.006702544	140.396508247	129.213	495.317	0.3898	366.104	-39.81	
