Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.803019536	1.564808475	286.829	411.856	0.7618	125.027	-54.27	
2	Spectrogram 1	1	1.525332950	1.770798274	110.319	191.219	0.2455	80.900	-48.64	
3	Spectrogram 1	1	2.549515857	3.031982185	470.693	809.004	0.4825	338.311	-58.14	
4	Spectrogram 1	1	2.371765104	2.693409323	102.964	463.338	0.3216	360.374	-48.84	
5	Spectrogram 1	1	2.879624397	3.345162082	95.610	382.438	0.4655	286.828	-52.64	
6	Spectrogram 1	1	3.986533248	4.316641788	205.928	367.729	0.3301	161.801	-54.61	
7	Spectrogram 1	1	4.316641788	5.010716155	250.056	367.729	0.6941	117.673	-58.01	
8	Spectrogram 1	1	5.227138798	5.481068445	139.737	345.665	0.2539	205.928	-53.88	
9	Spectrogram 1	1	5.887355879	6.132821204	213.283	404.502	0.2455	191.219	-51.67	
10	Spectrogram 1	1	6.309838106	7.012376794	257.410	338.311	0.7025	80.901	-58.74	
11	Spectrogram 1	1	7.652288568	7.846967964	345.665	441.275	0.1947	95.610	-57.31	
12	Spectrogram 1	1	9.759501391	9.937252144	220.637	389.793	0.1778	169.156	-51.13	
13	Spectrogram 1	1	11.051237779	11.652204609	147.092	639.848	0.6010	492.756	-56.34	
14	Spectrogram 1	1	9.959340300	10.805772455	500.111	735.458	0.8464	235.347	-51.19	
15	Spectrogram 1	1	11.699195074	12.562555872	257.410	338.311	0.8634	80.901	-58.75	
16	Spectrogram 1	1	13.155058380	14.467028220	507.466	757.521	1.3120	250.055	-49.63	
17	Spectrogram 1	1	13.967610150	14.128432260	183.864	353.020	0.1608	169.156	-50.11	
18	Spectrogram 1	1	17.720501062	17.855930207	455.984	676.621	0.1354	220.637	-55.26	
19	Spectrogram 1	1	18.076074422	18.617791001	573.657	816.358	0.5417	242.701	-49.89	
20	Spectrogram 1	1	20.099047272	20.801585960	470.693	625.139	0.7025	154.446	-57.02	
21	Spectrogram 1	1	20.183690487	20.716942745	220.637	419.211	0.5333	198.574	-57.26	
22	Spectrogram 1	1	23.047449954	23.242129349	205.928	316.247	0.1947	110.319	-49.45	
23	Spectrogram 1	1	23.680655932	23.849942363	455.984	566.302	0.1693	110.318	-55.13	
24	Spectrogram 1	1	25.260189385	25.421011494	375.083	507.466	0.1608	132.383	-58.08	
25	Spectrogram 1	1	26.716052691	26.885339122	205.928	301.538	0.1693	95.610	-49.01	
26	Spectrogram 1	1	22.733267047	22.936410764	404.502	514.820	0.2031	110.318	-56.31	
27	Spectrogram 1	1	30.532639814	30.710390567	514.820	603.075	0.1778	88.255	-54.01	
28	Spectrogram 1	1	31.142070966	31.328286040	536.884	617.785	0.1862	80.901	-56.44	
29	Spectrogram 1	1	32.113099128	32.256992595	147.092	250.056	0.1439	102.964	-47.50	
30	Spectrogram 1	1	31.780339466	32.897629910	632.494	963.450	1.1173	330.956	-49.40	
31	Spectrogram 1	1	35.453855017	35.893999737	603.075	838.422	0.4401	235.347	-48.70	
32	Spectrogram 1	1	35.936321345	36.368001744	632.494	860.486	0.4317	227.992	-50.21	
33	Spectrogram 1	1	34.916131389	35.026167569	683.976	801.649	0.1100	117.673	-50.51	
34	Spectrogram 1	1	36.863314776	37.049529850	588.366	809.004	0.1862	220.638	-55.72	
35	Spectrogram 1	1	39.935863497	40.418329825	470.693	698.685	0.4825	227.992	-55.06	
36	Spectrogram 1	1	40.265972038	40.782295652	735.458	970.804	0.5163	235.346	-53.48	
37	Spectrogram 1	1	38.248707757	39.103604233	661.912	764.876	0.8549	102.964	-61.54	
38	Spectrogram 1	1	37.757777107	38.231779114	588.366	713.394	0.4740	125.028	-63.63	
39	Spectrogram 1	1	39.535284632	39.975429353	308.892	419.211	0.4401	110.319	-58.62	
40	Spectrogram 1	1	41.008923893	41.398282684	514.820	625.139	0.3894	110.319	-62.47	
41	Spectrogram 1	1	47.381582737	47.787870172	242.701	558.948	0.4063	316.247	-59.21	
42	Spectrogram 1	1	46.399721438	46.780615907	272.119	507.466	0.3809	235.347	-54.80	
43	Spectrogram 1	1	48.298374348	48.603089924	286.829	360.374	0.3047	73.545	-51.93	
44	Spectrogram 1	1	49.457986400	49.678058760	463.338	588.366	0.2201	125.028	-55.23	
45	Spectrogram 1	1	50.118203481	50.372133127	360.374	573.657	0.2539	213.283	-54.46	
46	Spectrogram 1	1	52.657284480	52.987393020	213.283	294.183	0.3301	80.900	-56.71	
47	Spectrogram 1	1	53.740428213	54.256751828	985.513	1110.541	0.5163	125.028	-61.81	d
48	Spectrogram 1	1	53.511891532	54.324466400	1125.250	1250.278	0.8126	125.028	-62.37	d
49	Spectrogram 1	1	55.511946999	56.112913829	654.557	735.458	0.6010	80.901	-57.84	
50	Spectrogram 1	1	56.236551168	56.871375284	1264.987	1382.661	0.6348	117.674	-63.34	d
