Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.000000000	2.057584453	0.000	584.012	sc
2	Spectrogram 1	1	2.420687592	4.579134027	0.000	569.767	sc
3	Spectrogram 1	1	4.740513200	6.394649721	0.000	626.744	sc
4	Spectrogram 1	1	7.080511205	9.481026400	0.000	697.965	sc
6	Spectrogram 1	1	9.953931154	13.134811723	0.000	527.035	sc
7	Spectrogram 1	1	10.410380384	10.952413844	14472.093	18004.651	d
8	Spectrogram 1	1	10.866829614	11.323278843	12990.698	14244.186	d
9	Spectrogram 1	1	13.234659992	14.575479604	0.000	859.263	sc
10	Spectrogram 1	1	14.789440181	16.686557291	0.000	832.824	sc
11	Spectrogram 1	1	18.913537372	19.034571751	5155.576	8486.871	d
12	Spectrogram 1	1	19.417847287	19.720433236	2643.885	6636.151	d
13	Spectrogram 1	1	17.440952420	18.489917043	0.000	528.777	sc
14	Spectrogram 1	1	18.893364975	20.285260340	0.000	449.460	un
15	Spectrogram 1	1	20.426467116	26.014220973	0.000	766.727	un
16	Spectrogram 1	1	26.579048078	26.740427251	0.000	1930.036	un
17	Spectrogram 1	1	26.962323614	27.849909064	0.000	449.460	sc
18	Spectrogram 1	1	27.970943443	28.172667409	0.000	766.727	un
19	Spectrogram 1	1	28.515598151	29.161114842	0.000	555.216	sc
20	Spectrogram 1	1	29.564562774	30.996802933	0.000	541.996	sc
21	Spectrogram 1	1	31.917863274	33.244418847	0.000	527.035	
22	Spectrogram 1	1	33.529699616	34.414069998	42.733	470.058	
23	Spectrogram 1	1	34.727878844	35.483872880	0.000	626.744	
24	Spectrogram 1	1	33.344267116	33.700868077	10768.605	12591.860	d
25	Spectrogram 1	1	35.597984391	36.710579388	0.000	313.372	
26	Spectrogram 1	1	36.824691696	38.022870923	0.000	569.767	un
27	Spectrogram 1	1	38.255168321	39.072150383	113.953	427.326	
28	Spectrogram 1	1	40.131201204	41.038959051	56.977	398.837	
29	Spectrogram 1	1	41.129734835	41.755079130	0.000	626.744	
30	Spectrogram 1	1	39.102408978	40.050511618	0.000	270.640	un
31	Spectrogram 1	1	42.249302820	43.429388021	0.000	826.163	
32	Spectrogram 1	1	43.429388021	44.811197188	0.000	797.674	
33	Spectrogram 1	1	45.890420406	46.414902717	10768.605	13731.395	d
34	Spectrogram 1	1	44.846088148	46.472188529	0.000	655.233	
35	Spectrogram 1	1	46.586300836	46.871581605	0.000	284.884	
36	Spectrogram 1	1	47.228182566	47.556255449	199.419	413.081	
37	Spectrogram 1	1	48.041232756	48.519078043	0.000	284.884	
38	Spectrogram 1	1	48.198137179	48.269457371	7207.558	8831.395	d
39	Spectrogram 1	1	48.775834767	49.610281015	0.000	854.651	un
40	Spectrogram 1	1	49.624545053	51.036684857	14.244	669.477	
41	Spectrogram 1	1	51.364757741	52.213468028	142.442	555.523	
42	Spectrogram 1	1	52.434560623	53.219082737	0.000	569.767	
43	Spectrogram 1	1	53.468705278	53.618477681	4216.279	7207.558	d
