Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	43.689221838	45.304792463	191.219	330.956	1.6156	139.737	-91.11	
2	Spectrogram 1	1	44.244574240	45.023510077	669.267	786.940	0.7789	117.673	-98.34	
3	Spectrogram 1	1	43.689221838	44.424883462	110.319	176.510	0.7357	66.191	-93.08	
4	Spectrogram 1	1	45.492314054	46.350585948	147.092	360.374	0.8583	213.282	-79.01	
5	Spectrogram 1	1	45.679835644	47.980581312	338.311	669.267	2.3007	330.956	-90.60	
6	Spectrogram 1	1	48.225801853	48.867702682	176.510	375.083	0.6419	198.573	-93.49	
7	Spectrogram 1	1	49.177673802	50.043158065	198.574	353.020	0.8655	154.446	-79.77	
8	Spectrogram 1	1	49.148824326	51.334172092	316.247	544.239	2.1853	227.992	-90.45	
9	Spectrogram 1	1	51.283685510	52.906468504	102.964	330.956	1.6228	227.992	-87.20	
10	Spectrogram 1	1	54.093202636	55.030810588	176.510	353.020	0.9376	176.510	-77.05	
11	Spectrogram 1	1	58.529304414	60.173724515	654.557	904.613	1.6444	250.056	-103.54	
12	Spectrogram 1	1	57.671032519	59.899654498	308.892	470.693	2.2286	161.801	-86.27	
13	Spectrogram 1	1	57.699881995	58.457180726	213.283	338.311	0.7573	125.028	-81.12	
14	Spectrogram 1	1	58.788949693	60.260272942	80.900	227.992	1.4713	147.092	-97.65	
15	Spectrogram 1	1	54.581208949	54.862491334	323.601	514.820	0.2813	191.219	-90.58	
16	Spectrogram 1	1	56.811508302	57.626505983	227.992	360.374	0.8150	132.382	-97.34	
17	Spectrogram 1	1	60.193276341	61.549201687	95.610	308.892	1.3559	213.282	-85.01	
18	Spectrogram 1	1	61.210220351	64.001407101	161.801	514.820	2.7912	353.019	-83.68	
19	Spectrogram 1	1	61.564450221	63.562276396	573.657	809.004	1.9978	235.347	-100.09	
20	Spectrogram 1	1	63.944531946	65.437492301	139.737	338.311	1.4930	198.574	-94.23	
21	Spectrogram 1	1	64.225814332	65.177847022	360.374	779.585	0.9520	419.211	-100.02	
22	Spectrogram 1	1	65.643104771	66.523013772	286.829	426.566	0.8799	139.737	-93.52	
23	Spectrogram 1	1	66.414828239	66.768234313	323.601	588.366	0.3534	264.765	-86.58	
24	Spectrogram 1	1	66.479739559	67.366860929	139.737	360.374	0.8871	220.637	-78.59	
25	Spectrogram 1	1	67.482258831	68.823759440	235.346	375.083	1.3415	139.737	-93.05	
26	Spectrogram 1	1	68.455928628	69.032918137	558.948	1162.023	0.5770	603.075	-101.74	
27	Spectrogram 1	1	68.525585916	70.458500772	80.900	308.892	1.9329	227.992	-84.98	
28	Spectrogram 1	1	69.419919656	70.458500772	220.637	404.502	1.0386	183.865	-83.81	
29	Spectrogram 1	1	70.992216068	73.660792547	573.657	926.677	2.6686	353.020	-95.02	
30	Spectrogram 1	1	71.706240585	72.535663005	213.283	382.438	0.8294	169.155	-78.02	
31	Spectrogram 1	1	72.602005155	73.344879148	198.574	338.311	0.7429	139.737	-90.18	
32	Spectrogram 1	1	72.804391902	75.126774676	272.119	455.984	2.3224	183.865	-92.71	
33	Spectrogram 1	1	75.148411783	76.114869210	205.928	367.729	0.9665	161.801	-78.20	
34	Spectrogram 1	1	75.299871529	75.833586825	110.319	220.637	0.5337	110.318	-94.33	
35	Spectrogram 1	1	74.809289591	75.076147239	919.322	1066.414	0.2669	147.092	-95.07	
36	Spectrogram 1	1	74.088052704	74.628980369	919.322	1184.087	0.5409	264.765	-100.20	
37	Spectrogram 1	1	74.614555631	75.544951215	669.267	1294.406	0.9304	625.139	-100.07	
38	Spectrogram 1	1	77.095610521	77.701449505	772.231	860.486	0.6058	88.255	-97.76	
39	Spectrogram 1	1	77.600476341	77.946670047	911.968	1206.151	0.3462	294.183	-94.93	
40	Spectrogram 1	1	76.417647847	77.254282636	220.637	338.311	0.8366	117.674	-93.16	
41	Spectrogram 1	1	77.160521840	77.852909251	272.119	404.502	0.6924	132.383	-90.15	
42	Spectrogram 1	1	77.650962923	80.483312678	88.255	279.474	2.8323	191.219	-87.77	
