Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.241881138	0.813858836	198.574	382.438	0.5720	183.864	-57.14	
2	Spectrogram 1	1	2.595142211	4.228379734	176.510	301.538	1.6332	125.028	-50.67	
3	Spectrogram 1	1	3.477228299	4.359314387	102.964	205.928	0.8821	102.964	-52.70	
4	Spectrogram 1	1	3.366967538	4.338640495	389.793	853.131	0.9717	463.338	-59.94	
5	Spectrogram 1	1	5.699522901	7.126021497	169.155	330.956	1.4265	161.801	-51.80	
6	Spectrogram 1	1	6.795239214	8.035672775	514.820	904.613	1.2404	389.793	-64.96	
7	Spectrogram 1	1	8.028781477	8.800606804	441.275	558.948	0.7718	117.673	-60.57	
8	Spectrogram 1	1	9.296288041	9.847591846	227.992	367.729	0.5513	139.737	-60.31	
9	Spectrogram 1	1	10.109461154	11.597981427	191.219	316.247	1.4885	125.028	-51.23	
10	Spectrogram 1	1	9.999200393	11.129373193	573.657	875.195	1.1302	301.538	-61.13	
11	Spectrogram 1	1	10.557395495	10.998438539	419.211	514.820	0.4410	95.609	-55.87	
12	Spectrogram 1	1	13.111675646	15.489173304	161.801	360.374	2.3775	198.573	-55.24	
13	Spectrogram 1	1	15.020565070	15.516738495	227.992	316.247	0.4962	88.255	-59.87	
14	Spectrogram 1	1	15.158391022	15.833738183	617.785	882.549	0.6753	264.764	-59.51	
15	Spectrogram 1	1	14.427913480	14.758695763	419.211	588.366	0.3308	169.155	-59.60	
16	Spectrogram 1	1	15.930216348	16.564215724	382.438	779.585	0.6340	397.147	-65.00	
17	Spectrogram 1	1	16.880027432	18.148026183	169.155	338.311	1.2680	169.156	-54.47	
18	Spectrogram 1	1	17.569157188	18.092895803	375.083	478.048	0.5237	102.965	-59.92	
19	Spectrogram 1	1	18.175591373	18.761351666	205.928	360.374	0.5858	154.446	-57.67	
20	Spectrogram 1	1	18.416786788	18.844047237	433.920	514.820	0.4273	80.900	-57.13	
21	Spectrogram 1	1	18.644199608	19.050786164	95.610	213.283	0.4066	117.673	-57.36	
22	Spectrogram 1	1	18.864721130	20.553089032	323.601	595.721	1.6884	272.120	-60.06	
23	Spectrogram 1	1	21.318023062	21.703935725	382.438	463.338	0.3859	80.900	-55.88	
24	Spectrogram 1	1	20.794284447	21.800413891	102.964	205.928	1.0061	102.964	-53.85	
25	Spectrogram 1	1	18.899177617	19.595198671	617.785	934.031	0.6960	316.246	-59.27	
26	Spectrogram 1	1	21.646531811	22.769813313	147.092	308.892	1.1233	161.800	-52.77	
27	Spectrogram 1	1	22.060009664	22.480378816	404.502	551.593	0.4204	147.091	-58.27	
28	Spectrogram 1	1	23.197073762	24.154964123	205.928	353.020	0.9579	147.092	-57.10	
29	Spectrogram 1	1	24.086051148	24.961245938	176.510	330.956	0.8752	154.446	-59.16	
30	Spectrogram 1	1	25.298919519	26.050070953	389.793	683.976	0.7512	294.183	-60.73	
31	Spectrogram 1	1	25.487562871	27.403343593	125.028	294.183	1.9158	169.155	-58.12	
32	Spectrogram 1	1	26.721105135	27.169039476	294.183	360.374	0.4479	66.191	-58.41	
33	Spectrogram 1	1	27.396452296	28.809168296	595.721	860.486	1.4127	264.765	-61.08	
34	Spectrogram 1	1	27.947756101	28.499059906	191.219	330.956	0.5513	139.737	-56.48	
35	Spectrogram 1	1	28.829842189	30.490644901	345.665	514.820	1.6608	169.155	-60.90	
36	Spectrogram 1	1	29.188189662	29.470732862	213.283	308.892	0.2825	95.609	-58.48	
37	Spectrogram 1	1	28.754037916	29.574102326	80.900	198.574	0.8201	117.674	-54.07	
38	Spectrogram 1	1	29.684363087	30.531992687	154.446	227.992	0.8476	73.546	-51.55	
39	Spectrogram 1	1	30.437202166	30.954049483	581.012	698.685	0.5168	117.673	-66.06	
40	Spectrogram 1	1	30.719745366	30.947158185	264.765	330.956	0.2274	66.191	-58.70	
41	Spectrogram 1	1	31.202136195	32.545939220	683.976	772.231	1.3438	88.255	-58.69	
42	Spectrogram 1	1	32.160026556	32.986982264	353.020	463.338	0.8270	110.318	-58.18	
43	Spectrogram 1	1	31.243483981	32.139352664	213.283	382.438	0.8959	169.155	-59.12	
44	Spectrogram 1	1	33.262634166	33.986220410	338.311	507.466	0.7236	169.155	-61.33	
45	Spectrogram 1	1	33.614090342	34.186068040	213.283	316.247	0.5720	102.964	-57.58	
46	Spectrogram 1	1	34.503067728	35.522979767	227.992	573.657	1.0199	345.665	-63.66	
47	Spectrogram 1	1	34.399698264	35.247327864	125.028	220.637	0.8476	95.609	-56.07	
48	Spectrogram 1	1	33.593416449	33.786372781	617.785	683.976	0.1930	66.191	-63.73	
49	Spectrogram 1	1	33.924198732	34.275654908	595.721	683.976	0.3515	88.255	-67.51	
50	Spectrogram 1	1	36.003301939	37.629648164	478.048	845.776	1.6263	367.728	-59.34	
51	Spectrogram 1	1	36.506366661	36.961192300	367.729	455.984	0.4548	88.255	-53.52	
52	Spectrogram 1	1	36.072214915	36.919844515	205.928	308.892	0.8476	102.964	-55.79	
