Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.881905486	1.714816223	8301.139	10863.664	d
2	Spectrogram 1	1	1.469842477	2.596721709	8914.701	11513.319	d
3	Spectrogram 1	1	4.115558935	4.801485425	9059.069	11296.767	d
4	Spectrogram 1	1	4.605506428	5.683390911	8517.690	11332.859	d
5	Spectrogram 1	1	10.727776740	11.126188714	9681.201	10957.243	d
6	Spectrogram 1	1	11.282089051	11.879707011	9081.462	11174.170	d
7	Spectrogram 1	1	3.195956917	3.758930357	433.854	1084.635	
8	Spectrogram 1	1	5.335255991	7.734388961	459.375	1161.198	
9	Spectrogram 1	1	9.102847479	10.765784411	433.854	982.552	
10	Spectrogram 1	1	14.221574934	14.741242725	357.292	1033.594	
11	Spectrogram 1	1	18.049794330	19.868631600	421.094	1250.521	
12	Spectrogram 1	1	22.103203267	22.796093655	408.333	1071.875	
13	Spectrogram 1	1	25.247193404	25.784183455	433.854	1288.802	
14	Spectrogram 1	1	26.312512377	27.100675193	127.604	446.615	
15	Spectrogram 1	1	26.866824687	29.300602177	472.135	1327.083	
16	Spectrogram 1	1	22.544920899	23.471661794	0.000	344.531	
17	Spectrogram 1	1	29.586419472	30.868266690	127.604	280.729	
18	Spectrogram 1	1	30.824961041	32.020196961	408.333	969.792	
19	Spectrogram 1	1	34.107529231	34.990964476	319.010	510.417	
20	Spectrogram 1	1	34.956319957	35.553937917	446.615	842.187	
21	Spectrogram 1	1	36.194861526	37.667253602	216.927	561.458	
22	Spectrogram 1	1	37.303486148	37.580642303	1097.396	2807.292	baby whale?
24	Spectrogram 1	1	39.304207167	41.123044437	446.615	905.990	
25	Spectrogram 1	1	42.699370003	43.937911573	395.573	778.385	
26	Spectrogram 1	1	47.437008034	48.121237293	395.573	1212.240	
27	Spectrogram 1	1	50.435046048	52.158610889	472.135	829.427	
28	Spectrogram 1	1	53.717614263	54.956155832	382.812	676.302	
29	Spectrogram 1	1	55.146700689	55.770302039	421.094	1148.437	
30	Spectrogram 1	1	58.385963255	59.321365280	421.094	1250.521	
31	Spectrogram 1	1	61.965371114	63.940108721	421.094	1008.073	
