Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	2.388048844	2.616903525	148.148	370.370	
2	Spectrogram 1	1	5.880570278	6.119375162	207.407	418.519	
3	Spectrogram 1	1	9.758354565	10.912578173	251.416	759.485	
4	Spectrogram 1	1	13.266117933	14.460142355	523.783	754.247	
5	Spectrogram 1	1	17.912862975	18.649178035	555.210	864.242	
6	Spectrogram 1	1	31.919657714	32.805225827	560.448	932.333	
7	Spectrogram 1	1	35.392278741	36.337548075	591.875	890.431	
8	Spectrogram 1	1	40.022552288	40.798668162	555.210	968.998	
9	Spectrogram 1	1	42.130132044	42.349036521	466.167	838.052	un
10	Spectrogram 1	1	59.203452855	59.422357333	539.496	796.150	
11	Spectrogram 1	1	67.230472009	67.339924247	570.923	754.247	un
12	Spectrogram 1	1	61.031495218	61.897162924	460.929	906.144	un
13	Spectrogram 1	1	63.827502406	63.827502406	885.193	885.193	
14	Spectrogram 1	1	19.998405290	20.446590393	319.165	698.712	
15	Spectrogram 1	1	85.506919873	86.395427184	370.921	547.756	
16	Spectrogram 1	1	89.044719212	89.799557282	370.921	521.878	
17	Spectrogram 1	1	95.897871517	97.124483379	388.174	539.130	
18	Spectrogram 1	1	99.860267270	100.756637477	362.295	496.000	
19	Spectrogram 1	1	102.947092693	103.756971038	1099.825	1457.807	un
20	Spectrogram 1	1	106.202331867	107.546887178	301.913	483.060	
21	Spectrogram 1	1	109.758142270	110.945439650	271.721	483.060	
22	Spectrogram 1	1	114.103534684	114.764017995	310.539	452.869	
23	Spectrogram 1	1	116.288915816	116.469762437	1250.410	1451.695	sc ?
24	Spectrogram 1	1	120.293414865	121.630107280	1134.518	1476.093	un
25	Spectrogram 1	1	120.568616245	121.512163831	140.290	402.571	
26	Spectrogram 1	1	124.842739047	125.424593392	201.285	469.666	
27	Spectrogram 1	1	125.817738220	126.092939600	1134.518	1299.206	un
28	Spectrogram 1	1	136.971391399	137.513931261	189.086	378.173	
29	Spectrogram 1	1	135.508892640	136.122198571	341.575	902.735	
30	Spectrogram 1	1	133.786918294	135.328046019	1250.410	1842.067	
31	Spectrogram 1	1	140.053142738	140.642859980	189.086	329.376	
32	Spectrogram 1	1	143.520175439	144.235699026	140.290	341.575	
33	Spectrogram 1	1	147.639829124	148.166643193	225.684	378.173	
34	Spectrogram 1	1	145.650516295	146.043661123	1085.721	1329.704	un
35	Spectrogram 1	1	153.166941292	153.693755361	799.042	1012.527	
36	Spectrogram 1	1	151.452829843	152.121176050	152.489	280.580	
37	Spectrogram 1	1	158.843448495	159.645463944	146.389	335.476	
38	Spectrogram 1	1	157.231554701	157.624699529	481.865	872.237	
39	Spectrogram 1	1	162.053292019	162.839581674	567.259	817.341	
40	Spectrogram 1	1	169.343977717	170.216759235	487.965	677.051	
41	Spectrogram 1	1	173.710170008	174.700894974	134.190	396.471	
42	Spectrogram 1	1	177.777068687	178.366785929	201.285	390.372	
43	Spectrogram 1	1	178.067995860	178.925051585	1445.595	1634.682	un
44	Spectrogram 1	1	178.547632550	179.098035309	445.268	664.852	
45	Spectrogram 1	1	181.008719172	182.313960001	384.272	603.856	
46	Spectrogram 1	1	184.609421684	185.159824443	359.874	609.956	
47	Spectrogram 1	1	188.068590920	188.925646644	280.580	457.467	
48	Spectrogram 1	1	190.616169404	191.834918370	219.584	457.467	
49	Spectrogram 1	1	194.384278014	195.154841877	237.883	457.467	
50	Spectrogram 1	1	197.806922718	198.176478856	243.982	414.770	
51	Spectrogram 1	1	198.365188374	199.521034168	164.688	365.974	
52	Spectrogram 1	1	201.494117092	202.846535300	146.389	390.372	
53	Spectrogram 1	1	205.673885136	206.570255344	152.489	353.774	
54	Spectrogram 1	1	208.905535621	211.122872450	134.190	323.277	
55	Spectrogram 1	1	212.262488909	213.638495806	121.991	286.679	
56	Spectrogram 1	1	215.661545492	216.416383561	115.892	353.774	
57	Spectrogram 1	1	219.175756142	220.937044970	115.892	304.978	
58	Spectrogram 1	1	222.435565289	223.449878944	134.190	286.679	
59	Spectrogram 1	1	225.887376877	226.500682808	109.792	353.774	
60	Spectrogram 1	1	229.055620078	230.549570424	97.593	292.779	
61	Spectrogram 1	1	232.048090742	232.818654605	121.991	311.078	
