Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	3.888713572	4.297255465	0.000	370.052	un
2	Spectrogram 1	1	4.947896257	6.196218707	0.000	370.052	un
3	Spectrogram 1	1	8.064919587	8.155706674	89.323	395.573	un
4	Spectrogram 1	1	8.450764708	8.526420614	0.000	561.458	un
5	Spectrogram 1	1	24.482246415	25.359854925	982.552	1646.094	
6	Spectrogram 1	1	27.621967966	28.613060335	1288.802	1582.292	
7	Spectrogram 1	1	44.326792230	44.576456720	6679.807	8313.141	d
8	Spectrogram 1	1	44.871514754	45.204400741	6475.641	8402.464	d
9	Spectrogram 1	1	44.470538452	45.355712553	0.000	357.292	un
10	Spectrogram 1	1	50.613799143	51.408186157	1148.437	1339.844	
11	Spectrogram 1	1	62.653950838	62.926312100	1033.594	1301.562	un
12	Spectrogram 1	1	72.405998323	72.655662813	6352.176	9636.540	d
13	Spectrogram 1	1	87.378302398	88.187820593	1010.573	1398.561	
14	Spectrogram 1	1	88.944380218	90.321317709	1020.833	1301.562	
15	Spectrogram 1	1	95.329738691	95.571837590	3926.254	6057.243	d
16	Spectrogram 1	1	90.994655273	91.736083152	1263.281	1416.406	
17	Spectrogram 1	1	101.987459320	104.075562327	982.552	1237.760	
18	Spectrogram 1	1	100.323029386	101.412474434	905.990	1314.323	
19	Spectrogram 1	1	97.455670546	98.023089842	3212.180	10358.378	d
20	Spectrogram 1	1	98.068483385	98.628337090	3320.456	10683.205	d
21	Spectrogram 1	1	98.764517721	99.316805836	3067.812	9961.367	d
22	Spectrogram 1	1	100.035536943	100.292767024	3067.812	7723.668	d
23	Spectrogram 1	1	106.012347838	106.549504771	0.000	370.052	un
24	Spectrogram 1	1	117.648224727	119.093252533	0.000	344.531	un
25	Spectrogram 1	1	122.051399248	122.686908859	225.574	406.034	
26	Spectrogram 1	1	123.844443444	124.714486364	568.448	748.907	
27	Spectrogram 1	1	125.569398103	126.605884016	216.551	433.103	
28	Spectrogram 1	1	128.656159070	129.284103091	279.712	1299.309	un
29	Spectrogram 1	1	143.310707877	144.180750796	505.287	757.930	
30	Spectrogram 1	1	192.766979729	193.016644219	153.391	649.654	un
31	Spectrogram 1	1	251.801289702	252.572979944	395.573	880.469	
32	Spectrogram 1	1	254.464377596	255.553822644	114.844	497.656	
33	Spectrogram 1	1	256.892932181	257.967246047	370.052	599.740	
34	Spectrogram 1	1	261.349062405	261.742473117	421.094	778.385	
35	Spectrogram 1	1	263.603608406	263.951625574	5243.272	7246.658	d
36	Spectrogram 1	1	266.425573702	267.008124179	421.094	803.906	
37	Spectrogram 1	1	270.420206511	271.683660143	306.250	638.021	
38	Spectrogram 1	1	274.800683473	275.345405997	331.771	803.906	
39	Spectrogram 1	1	279.029849591	279.309776443	421.094	880.469	
40	Spectrogram 1	1	281.571888035	282.532718042	370.052	714.583	
41	Spectrogram 1	1	283.115268518	283.425457733	446.615	816.667	
42	Spectrogram 1	1	285.173109658	286.270120296	382.812	727.344	
43	Spectrogram 1	1	289.651939845	290.060481737	344.531	727.344	
44	Spectrogram 1	1	293.336382470	294.562008149	331.771	548.698	
45	Spectrogram 1	1	295.068904002	295.394224398	395.573	778.385	
46	Spectrogram 1	1	297.573114492	298.829002533	319.010	523.177	
47	Spectrogram 1	1	302.339436575	303.217045085	293.490	880.469	
48	Spectrogram 1	1	306.609106983	307.569936990	286.744	573.488	
49	Spectrogram 1	1	310.376771085	311.594831173	232.979	555.566	
50	Spectrogram 1	1	312.305997752	312.555662242	266.121	646.293	
51	Spectrogram 1	1	314.371403988	315.627292028	177.414	506.897	
52	Spectrogram 1	1	320.317958953	321.278788960	190.086	418.190	
53	Spectrogram 1	1	327.036203412	328.292092514	202.759	456.207	
54	Spectrogram 1	1	331.507468522	332.490995301	190.086	506.897	
55	Spectrogram 1	1	334.669885396	335.819855168	164.741	532.241	
56	Spectrogram 1	1	338.452681962	339.678307640	164.741	405.517	
57	Spectrogram 1	1	345.352500595	346.426814462	164.741	494.224	
58	Spectrogram 1	1	349.112599802	349.823765319	101.379	380.172	
59	Spectrogram 1	1	352.751648884	353.228281092	139.397	443.534	
60	Spectrogram 1	1	357.215348551	358.198875330	114.052	405.517	
61	Spectrogram 1	1	360.861963223	361.119193304	177.414	392.845	
62	Spectrogram 1	1	364.569103442	364.985210926	0.000	481.552	
63	Spectrogram 1	1	366.581550544	366.974961255	25.345	456.207	
64	Spectrogram 1	1	369.653180330	370.250861988	101.379	342.155	
65	Spectrogram 1	1	373.526763930	374.086617635	126.724	354.828	
66	Spectrogram 1	1	377.249034508	378.368741918	50.690	494.224	
67	Spectrogram 1	1	380.396321059	381.304191932	139.397	608.276	
68	Spectrogram 1	1	384.390952900	384.950806605	76.034	443.534	
69	Spectrogram 1	1	386.456359135	387.250746149	88.707	443.534	
70	Spectrogram 1	1	389.505293469	390.019753630	114.052	392.845	
71	Spectrogram 1	1	393.878204840	394.559107994	88.707	481.552	
72	Spectrogram 1	1	396.919572264	397.812311955	101.379	392.845	
73	Spectrogram 1	1	399.711275926	400.369482309	152.069	443.534	
74	Spectrogram 1	1	403.690776585	404.303589424	63.362	354.828	
75	Spectrogram 1	1	405.854535499	406.883455821	114.052	456.207	
76	Spectrogram 1	1	408.971560001	409.690291109	88.707	418.190	
77	Spectrogram 1	1	413.041847747	413.579004681	164.741	392.845	
78	Spectrogram 1	1	416.136175164	416.953258950	63.362	354.828	
79	Spectrogram 1	1	419.374247944	419.797921018	101.379	494.224	
80	Spectrogram 1	1	423.361314487	423.928733783	76.034	468.879	
81	Spectrogram 1	1	425.789869072	426.372419549	190.086	405.517	
84	Spectrogram 1	1	425.703024813	426.049150583	2534.483	15815.172	d
85	Spectrogram 1	1	426.266661313	426.469040862	2940.000	17437.241	d
86	Spectrogram 1	1	426.716813954	426.911627912	2585.172	14395.862	d
87	Spectrogram 1	1	427.199120356	427.395825711	2787.931	13838.276	d
88	Spectrogram 1	1	429.001634784	429.204014333	10898.276	15815.172	d
89	Spectrogram 1	1	428.597495770	429.250156781	139.397	354.828	
90	Spectrogram 1	1	430.111459957	430.550133751	63.362	354.828	un
91	Spectrogram 1	1	432.647208477	433.117980354	139.397	405.517	
92	Spectrogram 1	1	436.044256410	436.894855597	152.069	443.534	
93	Spectrogram 1	1	433.425324562	433.729839584	10036.552	17437.241	d
94	Spectrogram 1	1	433.987069665	434.181883623	6843.103	15916.552	d
95	Spectrogram 1	1	434.414525534	434.681212603	2027.586	15409.655	d
96	Spectrogram 1	1	435.479389522	435.598547574	2483.793	7147.241	d
97	Spectrogram 1	1	436.061939999	436.190555039	1723.448	5981.379	d
98	Spectrogram 1	1	439.145443787	440.068445841	139.397	380.172	
99	Spectrogram 1	1	445.023908970	445.750205669	114.052	405.517	
100	Spectrogram 1	1	445.719943306	446.408412051	190.086	354.828	
101	Spectrogram 1	1	448.156063482	448.662958052	177.414	456.207	
102	Spectrogram 1	1	452.438187855	452.854295339	190.086	354.828	
103	Spectrogram 1	1	450.244166579	450.486265479	2838.621	4866.207	d
104	Spectrogram 1	1	455.456858488	456.031843374	6538.966	10695.517	d
105	Spectrogram 1	1	456.637091023	457.272600634	5981.379	11253.103	d
106	Spectrogram 1	1	457.242338272	457.885413473	4055.172	11709.310	d
107	Spectrogram 1	1	460.011344434	460.291271286	3953.793	7755.517	d
108	Spectrogram 1	1	460.616591682	460.964608850	3700.345	7856.897	d
109	Spectrogram 1	1	455.645997549	456.190720072	101.379	456.207	
110	Spectrogram 1	1	458.369610167	458.868939147	126.724	380.172	
111	Spectrogram 1	1	461.970831123	462.500422465	88.707	418.190	
112	Spectrogram 1	1	467.387793998	467.932516521	101.379	354.828	
113	Spectrogram 1	1	464.762534057	465.398043668	177.414	456.207	un
114	Spectrogram 1	1	464.103779500	464.681544985	3261.713	11039.644	d
115	Spectrogram 1	1	465.165691063	465.829051436	2867.440	11218.859	d
116	Spectrogram 1	1	465.847775317	466.446939524	3154.184	10717.057	d
117	Spectrogram 1	1	466.556607973	467.110299897	4050.259	10143.569	d
118	Spectrogram 1	1	467.690741244	468.281880931	2795.754	11075.487	d
119	Spectrogram 1	1	468.338052576	468.891744499	3010.812	10286.941	d
120	Spectrogram 1	1	468.963965185	469.512307428	3046.655	10036.040	d
121	Spectrogram 1	1	470.060650253	470.603642816	2473.167	10108.162	d
122	Spectrogram 1	1	470.748084187	471.628106616	3045.000	17167.142	d
123	Spectrogram 1	1	473.243711337	474.094310524	2901.628	13260.255	d
