Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	224.933874209	226.236897292	9131.135	16841.871	1.3030	7710.736	-83.59	d
2	Spectrogram 1	1	227.077855451	228.658117488	9942.791	16706.595	1.5803	6763.804	-84.50	d
3	Spectrogram 1	1	236.138333276	237.700112715	9266.411	17112.423	1.5618	7846.012	-86.68	d
4	Spectrogram 1	1	246.342137373	246.896615281	8860.583	13459.969	0.5545	4599.387	-87.77	d
5	Spectrogram 1	1	249.160733403	249.752176504	8995.859	14271.626	0.5914	5275.767	-90.75	d
6	Spectrogram 1	1	247.700608246	248.329016541	8792.945	12174.847	0.6284	3381.902	-88.38	d
7	Spectrogram 1	1	251.159721394	251.483166840	9401.687	11633.742	0.3234	2232.055	-87.71	d
8	Spectrogram 1	1	252.610605252	253.035704981	9063.497	12715.951	0.4251	3652.454	-90.05	d
9	Spectrogram 1	1	283.061728666	283.505310992	8454.755	14001.074	0.4436	5546.319	-87.79	d
10	Spectrogram 1	1	281.767946882	282.424079073	9875.153	14136.350	0.6561	4261.196	-91.13	d
11	Spectrogram 1	1	284.993160044	285.963496382	6696.166	14474.540	0.9703	7778.374	-88.51	d
12	Spectrogram 1	1	287.100176092	287.793273476	8995.859	13865.798	0.6931	4869.939	-90.51	d
13	Spectrogram 1	1	289.034474827	289.570470138	10551.534	14271.626	0.5360	3720.092	-92.00	d
14	Spectrogram 1	1	291.243145158	291.890036050	9536.963	14203.988	0.6469	4667.025	-91.34	d
15	Spectrogram 1	1	293.035957059	293.784502234	8657.669	14339.264	0.7485	5681.595	-91.26	d
16	Spectrogram 1	1	298.342737830	299.294591571	10348.620	15624.387	0.9519	5275.767	-89.10	d
17	Spectrogram 1	1	300.921060100	301.817466050	8522.393	13865.798	0.8964	5343.405	-89.69	d
18	Spectrogram 1	1	303.653297306	304.521979361	7981.288	14339.264	0.8687	6357.975	-88.24	d
19	Spectrogram 1	1	306.592303004	307.460985059	7981.288	14474.540	0.8687	6493.252	-89.55	d
20	Spectrogram 1	1	312.717234722	313.567434180	7981.288	13595.245	0.8502	5613.957	-88.95	d
21	Spectrogram 1	1	315.859276198	316.635545268	7643.098	14406.902	0.7763	6763.804	-90.13	d
22	Spectrogram 1	1	325.333017550	326.377284276	6628.528	13933.436	1.0443	7304.908	-87.76	d
23	Spectrogram 1	1	331.353700250	331.898936859	7643.098	12580.675	0.5452	4937.577	-89.78	d
24	Spectrogram 1	1	335.759477667	336.665124915	9536.963	13933.436	0.9056	4396.472	-89.84	d
25	Spectrogram 1	1	338.421244411	338.984963617	8860.583	13730.521	0.5637	4869.939	-88.91	d
26	Spectrogram 1	1	346.496090271	347.410978818	7237.270	14271.626	0.9149	7034.356	-88.49	
27	Spectrogram 1	1	55.470817732	56.154673818	221.201	316.856	0.6839	95.655	-74.38	
28	Spectrogram 1	1	76.493877910	76.965184132	173.374	328.813	0.4713	155.439	-65.99	
29	Spectrogram 1	1	83.048780217	83.529327737	173.374	257.072	0.4805	83.698	-70.97	
30	Spectrogram 1	1	86.344854618	86.732989153	257.072	322.834	0.3881	65.763	-70.35	
31	Spectrogram 1	1	93.425458552	94.349588398	179.352	352.726	0.9241	173.374	-67.25	
32	Spectrogram 1	1	96.502810939	97.011082354	167.396	316.856	0.5083	149.460	-72.66	
33	Spectrogram 1	1	102.650666266	103.140455085	203.266	280.985	0.4898	77.719	-63.29	
34	Spectrogram 1	1	106.471701480	106.998455492	173.374	340.770	0.5268	167.396	-70.31	
35	Spectrogram 1	1	110.087667896	110.448078536	167.396	245.115	0.3604	77.719	-70.35	
36	Spectrogram 1	1	110.974832548	111.418414874	185.331	245.115	0.4436	59.784	-69.94	
37	Spectrogram 1	1	112.056064467	112.601301076	257.072	340.770	0.5452	83.698	-69.25	
38	Spectrogram 1	1	114.977795804	115.282758653	239.137	310.878	0.3050	71.741	-65.25	
