Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.000000000	1.080268130	314.984	485.600	1.0803	170.616	-77.74	
2	Spectrogram 1	1	3.416935064	4.661591823	314.984	433.103	1.2447	118.119	-78.66	
3	Spectrogram 1	1	2.865058954	3.146868031	892.454	1010.573	0.2818	118.119	-80.04	
4	Spectrogram 1	1	6.798643993	7.397488283	1207.438	1351.806	0.5988	144.368	-83.22	
5	Spectrogram 1	1	6.117605389	6.810386038	905.579	1089.319	0.6928	183.740	-79.78	
6	Spectrogram 1	1	6.328962197	6.939548532	249.362	354.357	0.6106	104.995	-78.48	
7	Spectrogram 1	1	7.925880303	8.148979156	341.233	446.227	0.2231	104.994	-84.00	
8	Spectrogram 1	1	8.301625739	8.888727984	341.233	485.600	0.5871	144.367	-65.24	
9	Spectrogram 1	1	11.554175213	12.540506984	288.735	419.979	0.9863	131.244	-56.97	
10	Spectrogram 1	1	12.599217208	13.421160351	262.487	367.481	0.8219	104.994	-55.26	
11	Spectrogram 1	1	13.832131922	14.149167134	708.714	1010.573	0.3170	301.859	-58.78	
12	Spectrogram 1	1	13.444644440	13.691227383	748.087	1023.698	0.2466	275.611	-55.93	
13	Spectrogram 1	1	15.640406835	17.225582896	249.362	406.854	1.5852	157.492	-56.12	
14	Spectrogram 1	1	17.542618108	18.352819206	734.963	879.330	0.8102	144.367	-57.47	
15	Spectrogram 1	1	17.401713569	17.789201051	157.492	249.362	0.3875	91.870	-58.88	
16	Spectrogram 1	1	20.114125940	21.112199756	209.989	354.357	0.9981	144.368	-54.76	
17	Spectrogram 1	1	20.771683084	21.440979643	721.838	866.206	0.6693	144.368	-59.17	
18	Spectrogram 1	1	22.063308022	22.685636402	643.092	958.076	0.6223	314.984	-63.71	
19	Spectrogram 1	1	24.399974956	25.867730568	196.865	314.984	1.4678	118.119	-55.78	
20	Spectrogram 1	1	25.726826029	26.243476004	577.471	997.449	0.5166	419.978	-59.04	
21	Spectrogram 1	1	28.004782738	29.542990619	183.741	354.357	1.5382	170.616	-55.69	
22	Spectrogram 1	1	29.648669023	30.588032615	616.844	734.963	0.9394	118.119	-60.99	
23	Spectrogram 1	1	32.361086549	33.018641063	223.114	367.481	0.6576	144.367	-51.79	
24	Spectrogram 1	1	35.507954580	36.940484057	144.368	314.984	1.4325	170.616	-55.95	
25	Spectrogram 1	1	38.725274881	40.286966852	183.741	354.357	1.5617	170.616	-55.04	
26	Spectrogram 1	1	37.903331739	38.267335130	564.346	774.335	0.3640	209.989	-57.34	
27	Spectrogram 1	1	41.966084113	42.999384064	564.346	682.465	1.0333	118.119	-59.65	
28	Spectrogram 1	1	42.917189750	44.009199925	144.368	380.606	1.0920	236.238	-56.10	
29	Spectrogram 1	1	47.038647507	48.318530400	104.995	262.487	1.2799	157.492	-54.96	
30	Spectrogram 1	1	50.162031449	51.207073444	183.741	301.860	1.0450	118.119	-50.81	
31	Spectrogram 1	1	49.610155339	50.197257583	498.725	853.081	0.5871	354.356	-58.74	
32	Spectrogram 1	1	53.285421919	54.635757082	459.352	721.838	1.3503	262.486	-58.15	
33	Spectrogram 1	1	53.614199176	55.164149102	209.989	341.233	1.5499	131.244	-52.53	
34	Spectrogram 1	1	56.443057597	57.821335606	478.554	620.512	1.3783	141.958	-57.44	
35	Spectrogram 1	1	57.223528277	58.302902621	182.809	277.447	1.0794	94.638	-51.60	
36	Spectrogram 1	1	60.146141885	61.009641360	454.895	880.768	0.8635	425.873	-57.31	
37	Spectrogram 1	1	60.179353403	61.092670156	241.958	312.937	0.9133	70.979	-55.86	
38	Spectrogram 1	1	60.826978010	61.773506281	182.809	247.873	0.9465	65.064	-56.09	
39	Spectrogram 1	1	63.965466487	65.393561773	472.639	685.576	1.4281	212.937	-56.45	
40	Spectrogram 1	1	64.430427743	65.244109941	182.809	330.682	0.8137	147.873	-53.39	
41	Spectrogram 1	1	67.236801037	68.847559673	396.299	692.045	1.6108	295.746	-54.97	
42	Spectrogram 1	1	67.967454439	69.129857579	159.703	224.767	1.1624	65.064	-52.97	
43	Spectrogram 1	1	70.740616215	71.936230873	195.192	325.320	1.1956	130.128	-53.64	
