Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	64.590403434	65.381651108	266.667	444.444	0.7912	177.777	-53.19	
2	Spectrogram 1	1	67.938630434	68.771522722	281.481	414.815	0.8329	133.334	-46.45	
3	Spectrogram 1	1	70.470622991	71.753277116	992.593	1288.889	1.2827	296.296	-49.21	
4	Spectrogram 1	1	71.480916056	72.388768650	251.852	429.630	0.9079	177.778	-48.55	
5	Spectrogram 1	1	74.254447377	74.954076899	866.667	1200.000	0.6996	333.333	-51.26	
6	Spectrogram 1	1	73.296621245	73.854659078	311.111	459.259	0.5580	148.148	-50.97	
7	Spectrogram 1	1	75.836942725	76.611532553	281.481	437.037	0.7746	155.556	-48.01	
8	Spectrogram 1	1	78.909975099	79.626262467	244.444	488.889	0.7163	244.445	-45.87	
9	Spectrogram 1	1	82.191570716	82.741279627	259.259	451.852	0.5497	192.593	-45.64	
10	Spectrogram 1	1	85.775500389	86.683352984	281.481	466.667	0.9079	185.186	-48.71	
11	Spectrogram 1	1	88.898846471	89.848343680	251.852	451.852	0.9495	200.000	-48.33	
12	Spectrogram 1	1	91.299899339	91.724674406	733.333	1037.037	0.4248	303.704	-60.11	
13	Spectrogram 1	1	92.532579926	93.190564834	807.407	1288.889	0.6580	481.482	-52.29	
14	Spectrogram 1	1	92.732474075	93.607010978	259.259	444.444	0.8745	185.185	-47.11	
15	Spectrogram 1	1	93.990141431	94.523192496	59.259	259.259	0.5331	200.000	-53.73	
16	Spectrogram 1	1	96.305581993	97.171789973	222.222	414.815	0.8662	192.593	-47.76	
17	Spectrogram 1	1	97.429986583	98.337839177	444.444	674.074	0.9079	229.630	-53.40	
18	Spectrogram 1	1	100.125384987	100.949948353	237.037	451.852	0.8246	214.815	-49.42	
19	Spectrogram 1	1	101.555126721	102.229769475	81.481	237.037	0.6746	155.556	-57.84	
20	Spectrogram 1	1	102.213111629	103.029346072	503.704	681.481	0.8162	177.777	-51.90	
21	Spectrogram 1	1	103.720646671	104.528552191	244.444	429.630	0.8079	185.186	-48.49	
22	Spectrogram 1	1	106.816002897	107.598921648	259.259	414.815	0.7829	155.556	-47.21	
23	Spectrogram 1	1	108.906562541	109.506244989	1081.481	1296.296	0.5997	214.815	-51.40	
24	Spectrogram 1	1	110.630649579	111.563488942	214.815	414.815	0.9328	200.000	-47.50	
25	Spectrogram 1	1	112.121186709	112.912434383	888.889	1251.852	0.7912	362.963	-52.24	
26	Spectrogram 1	1	112.704211311	113.820286978	511.111	711.111	1.1161	200.000	-51.85	
27	Spectrogram 1	1	114.328351274	115.311164175	244.444	414.815	0.9828	170.371	-49.07	
28	Spectrogram 1	1	116.002464774	117.526657662	459.259	770.370	1.5242	311.111	-52.42	
29	Spectrogram 1	1	118.118011187	118.842627478	237.037	392.593	0.7246	155.556	-48.20	
30	Spectrogram 1	1	121.224359816	122.140541334	251.852	429.630	0.9162	177.778	-48.30	
31	Spectrogram 1	1	125.030677575	125.755293866	259.259	414.815	0.7246	155.556	-49.24	
32	Spectrogram 1	1	125.696991406	126.596515078	851.852	1244.444	0.8995	392.592	-51.61	
33	Spectrogram 1	1	126.093607094	126.959815074	148.148	348.148	0.8662	200.000	-57.20	
34	Spectrogram 1	1	127.975943666	128.900454107	259.259	437.037	0.9245	177.778	-48.67	
35	Spectrogram 1	1	129.100348256	130.241410691	970.370	1177.778	1.1411	207.408	-50.09	
36	Spectrogram 1	1	130.807777448	132.040458035	488.889	725.926	1.2327	237.037	-48.53	
37	Spectrogram 1	1	131.782261425	132.373614950	251.852	422.222	0.5914	170.370	-48.75	
38	Spectrogram 1	1	132.323641413	132.840034632	955.556	1207.407	0.5164	251.851	-47.83	
39	Spectrogram 1	1	132.964628867	133.705903004	192.593	355.556	0.7413	162.963	-58.71	
40	Spectrogram 1	1	134.030730997	135.280069430	466.667	688.889	1.2493	222.222	-49.50	
41	Spectrogram 1	1	134.871952208	135.554923885	237.037	370.370	0.6830	133.333	-48.13	
42	Spectrogram 1	1	136.895880470	137.570523223	170.370	340.741	0.6746	170.371	-57.29	
43	Spectrogram 1	1	138.919808731	139.677740714	274.074	422.222	0.7579	148.148	-47.08	
44	Spectrogram 1	1	138.636625353	140.085857935	496.296	733.333	1.4492	237.037	-49.76	
45	Spectrogram 1	1	141.018357127	141.834591570	948.148	1200.000	0.8162	251.852	-48.40	
46	Spectrogram 1	1	142.459260787	143.317139844	214.815	459.259	0.8579	244.444	-50.80	
47	Spectrogram 1	1	143.733585988	145.049555804	859.259	1348.148	1.3160	488.889	-54.13	
48	Spectrogram 1	1	146.473801618	147.073484066	229.630	444.444	0.5997	214.814	-47.79	
49	Spectrogram 1	1	148.431098496	148.805900026	911.111	1214.815	0.3748	303.704	-58.53	
50	Spectrogram 1	1	149.872002155	150.538315986	259.259	444.444	0.6663	185.185	-48.16	
51	Spectrogram 1	1	150.721552290	152.287389792	466.667	718.519	1.5658	251.852	-50.99	
52	Spectrogram 1	1	154.253015593	154.869355887	274.074	414.815	0.6163	140.741	-44.20	
53	Spectrogram 1	1	153.811582680	154.811053427	511.111	703.704	0.9995	192.593	-50.24	
54	Spectrogram 1	1	154.044792521	155.219170648	933.333	1385.185	1.1744	451.852	-53.71	
55	Spectrogram 1	1	156.928922938	157.511947540	133.333	340.741	0.5830	207.408	-57.63	
56	Spectrogram 1	1	158.078314297	159.077785043	496.296	688.889	0.9995	192.593	-45.79	
57	Spectrogram 1	1	162.109512974	163.133970489	229.630	474.074	1.0245	244.444	-54.36	
58	Spectrogram 1	1	165.226853443	166.451205107	962.963	1244.444	1.2244	281.481	-50.95	
59	Spectrogram 1	1	165.901496196	166.801019868	155.556	400.000	0.8995	244.444	-51.75	
60	Spectrogram 1	1	168.725001055	169.757787493	888.889	1274.074	1.0328	385.185	-52.38	
61	Spectrogram 1	1	169.682827187	170.965481311	503.704	740.741	1.2827	237.037	-49.97	
62	Spectrogram 1	1	170.515719475	171.281980381	266.667	444.444	0.7663	177.777	-48.30	
63	Spectrogram 1	1	171.140388692	171.448558839	1303.704	1525.926	0.3082	222.222	-52.52	
64	Spectrogram 1	1	172.653249569	173.794312004	466.667	681.481	1.1411	214.814	-51.26	
65	Spectrogram 1	1	173.369536937	173.727680621	866.667	1355.556	0.3581	488.889	-54.75	
66	Spectrogram 1	1	174.393994452	175.126939666	274.074	481.481	0.7329	207.407	-53.01	
67	Spectrogram 1	1	176.851026703	178.017075907	474.074	755.556	1.1660	281.482	-49.35	
68	Spectrogram 1	1	177.184183619	177.608958686	1377.778	1666.667	0.4248	288.889	-60.41	
69	Spectrogram 1	1	178.896938389	179.846435598	1251.852	1844.444	0.9495	592.592	-65.29	
70	Spectrogram 1	1	178.813649160	179.554923297	288.889	444.444	0.7413	155.555	-49.32	
71	Spectrogram 1	1	180.754288192	181.245694643	1644.444	1896.296	0.4914	251.852	-64.34	
72	Spectrogram 1	1	180.546065120	181.104102954	200.000	355.556	0.5580	155.556	-58.20	
73	Spectrogram 1	1	182.569993382	183.169675829	185.185	451.852	0.5997	266.667	-54.13	
74	Spectrogram 1	1	182.836348770	183.127861071	1259.259	1496.296	0.2915	237.037	-57.55	
75	Spectrogram 1	1	184.393857350	185.185105024	851.852	1081.481	0.7912	229.629	-49.87	
76	Spectrogram 1	1	186.067970850	186.526061608	148.148	429.630	0.4581	281.482	-51.42	
77	Spectrogram 1	1	187.591824130	188.724557643	785.185	1385.185	1.1327	600.000	-54.31	
78	Spectrogram 1	1	188.049914889	188.891136101	577.778	733.333	0.8412	155.555	-50.20	
79	Spectrogram 1	1	189.607423469	190.490289295	296.296	459.259	0.8829	162.963	-63.55	
80	Spectrogram 1	1	190.623552061	191.356497275	303.704	422.222	0.7329	118.518	-46.98	
81	Spectrogram 1	1	191.189918817	192.297665561	503.704	733.333	1.1077	229.629	-48.16	
82	Spectrogram 1	1	189.515805317	189.982224999	1311.111	1644.444	0.4664	333.333	-64.28	
