Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	14.210034319	14.976795557	541.420	887.574	
2	Spectrogram 1	1	17.372924426	18.091763087	505.917	860.947	
3	Spectrogram 1	1	21.126465310	21.519430445	585.799	869.822	
4	Spectrogram 1	1	17.476110581	18.377055035	142.012	408.284	
5	Spectrogram 1	1	23.514355330	24.376961723	150.888	434.911	
6	Spectrogram 1	1	27.410318003	28.004557962	177.515	390.533	
7	Spectrogram 1	1	33.253731908	33.809633806	204.142	434.911	
8	Spectrogram 1	1	37.063433942	37.274293282	213.018	426.036	
9	Spectrogram 1	1	42.320397812	42.972144864	155.325	412.722	
10	Spectrogram 1	1	46.353684236	46.871248072	177.515	417.160	
11	Spectrogram 1	1	51.716975072	52.761687259	159.763	426.036	
12	Spectrogram 1	1	68.136758936	68.865182113	204.142	355.030	
13	Spectrogram 1	1	74.830502832	75.654771163	399.408	550.296	
14	Spectrogram 1	1	95.526938102	96.399129010	239.645	390.533	
15	Spectrogram 1	1	99.433831233	100.219761502	124.260	346.154	
17	Spectrogram 1	1	101.969690004	102.400993201	186.391	284.024	
18	Spectrogram 1	1	105.877929079	106.251725183	195.266	346.154	
19	Spectrogram 1	1	106.951394812	108.082367639	292.899	443.787	
21	Spectrogram 1	1	110.842708095	111.714899004	239.645	337.278	
22	Spectrogram 1	1	114.362631426	114.937702354	168.639	426.036	
23	Spectrogram 1	1	118.177268585	118.963198854	195.266	470.414	
24	Spectrogram 1	1	125.209611057	125.717590377	328.402	461.538	
25	Spectrogram 1	1	128.912537477	130.235200612	221.893	434.911	
26	Spectrogram 1	1	132.523207924	133.481659472	186.391	390.533	
27	Spectrogram 1	1	136.002387042	137.334634693	284.024	443.787	
28	Spectrogram 1	1	138.891975590	140.090040024	177.515	408.284	
29	Spectrogram 1	1	142.227386975	143.482958502	221.893	470.414	
30	Spectrogram 1	1	149.095446741	149.775947340	159.763	372.781	
31	Spectrogram 1	1	152.186758761	153.528590928	204.142	408.284	
32	Spectrogram 1	1	156.102787761	157.195422525	168.639	443.787	
33	Spectrogram 1	1	162.399814428	163.099484058	186.391	363.905	
34	Spectrogram 1	1	166.188104191	166.782344151	150.888	399.408	
35	Spectrogram 1	1	169.322240752	169.935649742	195.266	390.533	
36	Spectrogram 1	1	172.701985532	173.602929987	159.763	381.657	
37	Spectrogram 1	1	176.761333616	177.413080668	204.142	399.408	
38	Spectrogram 1	1	183.144620923	184.074318924	204.142	346.154	
39	Spectrogram 1	1	186.839308770	187.586900977	124.260	390.533	
40	Spectrogram 1	1	192.575498414	193.390182230	204.142	434.911	
41	Spectrogram 1	1	196.596508436	197.267424519	186.391	443.787	
42	Spectrogram 1	1	202.423893845	203.286500238	159.763	452.663	
43	Spectrogram 1	1	206.462726954	207.085720460	168.639	381.657	
44	Spectrogram 1	1	212.104866035	212.718275025	142.012	310.651	
45	Spectrogram 1	1	213.417944655	213.619219480	257.396	479.290	sc
46	Spectrogram 1	1	213.897170429	214.184705893	328.402	541.420	sc
47	Spectrogram 1	1	221.886169857	222.451656270	186.391	355.030	
48	Spectrogram 1	1	224.986169098	224.986169098	355.030	355.030	
49	Spectrogram 1	1	230.904913183	231.662089906	186.391	355.030	
50	Spectrogram 1	1	234.594951642	235.246698694	150.888	381.657	
51	Spectrogram 1	1	234.892071621	235.256283209	2387.574	2627.219	dolphin
52	Spectrogram 1	1	239.610956681	240.109351486	2307.692	2742.604	dolphin
53	Spectrogram 1	1	239.467637597	240.282321413	177.515	363.905	
54	Spectrogram 1	1	243.786664894	244.285059699	195.266	381.657	
55	Spectrogram 1	1	249.457557521	250.032628450	168.639	363.905	
56	Spectrogram 1	1	252.962798298	253.614545351	150.888	399.408	
57	Spectrogram 1	1	254.540654169	255.278661861	2183.432	2707.101	dolphin
58	Spectrogram 1	1	257.368086235	257.818558462	186.391	452.663	
59	Spectrogram 1	1	273.152151266	273.899743473	328.402	505.917	sc ?
60	Spectrogram 1	1	310.533147928	310.954866609	150.888	505.917	
62	Spectrogram 1	1	179.915527058	181.064178203	167.969	355.469	un
63	Spectrogram 1	1	215.943752449	216.973891968	234.375	449.219	un
64	Spectrogram 1	1	254.518848670	255.394011447	1019.531	1300.781	un
65	Spectrogram 1	1	259.559837423	260.389418805	1074.219	1437.500	d / cs ?
66	Spectrogram 1	1	260.379445274	261.400468514	199.219	304.687	
