Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	119.758066055	120.846988181	157.839	363.715	
3	Spectrogram 1	1	124.567816193	125.425052761	192.151	322.540	
5	Spectrogram 1	1	128.558226811	129.705070326	171.564	377.440	
6	Spectrogram 1	1	130.699018945	131.730019681	219.601	398.028	
7	Spectrogram 1	1	133.339083955	134.497511749	164.701	384.303	
8	Spectrogram 1	1	136.418424845	137.298829968	185.289	363.715	
10	Spectrogram 1	1	138.635883679	140.489368148	1132.320	1399.959	?
11	Spectrogram 1	1	144.454293330	145.207271396	1303.884	1496.035	
12	Spectrogram 1	1	147.589603993	148.805953177	1166.633	1496.035	
13	Spectrogram 1	1	149.420385546	150.648319007	1152.908	1482.310	
14	Spectrogram 1	1	151.051947138	151.411059754	1152.908	1447.997	
15	Spectrogram 1	1	151.807681688	155.259796513	1036.244	1557.798	?
16	Spectrogram 1	1	157.766789172	159.110565412	1187.220	1523.485	
18	Spectrogram 1	1	160.033328865	161.956319002	1695.049	2189.152	Dolphins?
19	Spectrogram 1	1	171.703020472	172.687684097	665.667	953.894	
21	Spectrogram 1	1	175.807572231	176.421538962	727.430	1049.970	
22	Spectrogram 1	1	178.063708288	178.990450523	651.942	823.506	
23	Spectrogram 1	1	182.009405979	184.870722629	452.928	850.956	
24	Spectrogram 1	1	183.561699222	184.627452792	130.388	432.340	?
25	Spectrogram 1	1	185.639204917	188.639532903	459.791	789.193	
26	Spectrogram 1	1	188.915841321	190.132190505	233.327	398.028	?
27	Spectrogram 1	1	190.503702241	191.418860198	398.028	864.681	
28	Spectrogram 1	1	194.156701519	196.670489831	336.265	782.330	
29	Spectrogram 1	1	197.742089263	199.838843570	281.364	727.430	
30	Spectrogram 1	1	201.978052959	202.870042360	308.815	706.842	
31	Spectrogram 1	1	204.990412782	207.747470931	116.663	768.605	
32	Spectrogram 1	1	207.844190523	208.852022703	226.464	425.478	
33	Spectrogram 1	1	209.008007630	211.058424825	205.876	802.918	
34	Spectrogram 1	1	213.396273674	214.508364356	226.464	665.667	
35	Spectrogram 1	1	218.510666713	219.472161782	205.876	452.928	
36	Spectrogram 1	1	219.414240392	220.178802736	192.151	377.440	
37	Spectrogram 1	1	220.499711338	222.758645535	137.251	459.791	
38	Spectrogram 1	1	225.083056743	226.426832983	96.076	439.203	
39	Spectrogram 1	1	228.282716630	230.367886658	109.801	459.791	
40	Spectrogram 1	1	229.556987203	230.379470936	233.327	398.028	?
41	Spectrogram 1	1	230.553235105	231.329381727	185.289	418.615	
42	Spectrogram 1	1	232.581271417	234.318913107	123.526	411.753	
43	Spectrogram 1	1	236.359930511	237.402515526	157.839	446.065	
44	Spectrogram 1	1	237.376021214	238.128999280	185.289	377.440	
45	Spectrogram 1	1	239.114861757	242.103605465	116.663	439.203	
46	Spectrogram 1	1	243.528006114	245.393074862	61.763	329.402	
47	Spectrogram 1	1	247.769915396	248.893590356	130.388	343.127	
48	Spectrogram 1	1	249.081584333	249.880899511	212.739	411.753	
49	Spectrogram 1	1	251.068919200	252.887650836	96.076	301.952	
50	Spectrogram 1	1	252.910819392	253.756471682	144.113	384.303	?
51	Spectrogram 1	1	254.965829240	256.680302374	130.388	308.815	
52	Spectrogram 1	1	258.436627414	259.548718096	130.388	370.577	
53	Spectrogram 1	1	259.808625906	260.967053700	178.426	391.165	
54	Spectrogram 1	1	261.107593423	263.412864733	102.938	308.815	
55	Spectrogram 1	1	261.188683369	263.018999283	274.502	494.103	
56	Spectrogram 1	1	263.764408245	266.556219228	68.625	391.165	
57	Spectrogram 1	1	269.007381761	269.934123996	89.213	384.303	
58	Spectrogram 1	1	272.434707538	273.222438437	260.777	398.028	
59	Spectrogram 1	1	271.704898028	273.477292552	102.938	398.028	
60	Spectrogram 1	1	273.546798220	275.087507185	137.251	377.440	
61	Spectrogram 1	1	275.452693937	276.576368897	116.663	295.089	
62	Spectrogram 1	1	278.929463398	280.273239639	61.763	343.127	
63	Spectrogram 1	1	281.798335669	283.396966024	61.763	370.577	
64	Spectrogram 1	1	284.759197340	286.496839031	82.351	356.852	
65	Spectrogram 1	1	286.854358324	287.468325055	102.938	260.777	
66	Spectrogram 1	1	286.854358324	287.259808052	240.189	480.378	
67	Spectrogram 1	1	288.716338680	289.782092251	150.976	349.990	
68	Spectrogram 1	1	291.398501950	292.336828463	398.028	610.767	
69	Spectrogram 1	1	291.143647835	292.533761188	260.777	411.753	
70	Spectrogram 1	1	290.796119497	292.464255520	82.351	274.502	
71	Spectrogram 1	1	297.807821668	298.641889679	144.113	322.540	
72	Spectrogram 1	1	300.832562430	301.990990224	68.625	240.189	
73	Spectrogram 1	1	300.913652376	302.558619843	253.914	480.378	
74	Spectrogram 1	1	304.154837538	304.618208656	411.753	555.866	
75	Spectrogram 1	1	303.552455085	304.768804269	164.701	315.677	
76	Spectrogram 1	1	307.285331871	308.107815604	157.839	377.440	
77	Spectrogram 1	1	309.370953953	310.309280466	102.938	253.914	
78	Spectrogram 1	1	309.811156515	310.807404417	226.464	356.852	
79	Spectrogram 1	1	311.488920704	312.311404438	150.976	329.402	
80	Spectrogram 1	1	311.500504982	312.288235882	452.928	617.629	
81	Spectrogram 1	1	312.827233606	313.348526113	185.289	459.791	
82	Spectrogram 1	1	315.247197335	316.104433902	130.388	370.577	
83	Spectrogram 1	1	317.325017444	318.240175401	102.938	288.227	
84	Spectrogram 1	1	317.881062785	318.773052186	226.464	363.715	
85	Spectrogram 1	1	319.680305421	320.595463378	137.251	452.928	
86	Spectrogram 1	1	323.561826202	324.384309936	150.976	432.340	
87	Spectrogram 1	1	326.597596440	328.149889684	123.526	308.815	
88	Spectrogram 1	1	329.440328097	330.285980386	157.839	439.203	
89	Spectrogram 1	1	332.388701484	333.072173883	144.113	528.416	
90	Spectrogram 1	1	334.297573755	335.224315990	75.488	274.502	
91	Spectrogram 1	1	336.755965278	337.300426341	130.388	452.928	
92	Spectrogram 1	1	340.296049937	340.794173888	157.839	507.828	
93	Spectrogram 1	1	341.654405189	342.291540476	116.663	274.502	
94	Spectrogram 1	1	344.392430886	344.867386282	150.976	418.615	
95	Spectrogram 1	1	345.511526881	345.998066554	137.251	260.777	
96	Spectrogram 1	1	347.310192039	348.005248715	109.801	638.217	
97	Spectrogram 1	1	351.331195825	351.887241166	137.251	494.103	
98	Spectrogram 1	1	352.530373438	353.190677281	123.526	329.402	
99	Spectrogram 1	1	354.675156535	355.289123266	157.839	610.767	
100	Spectrogram 1	1	360.202473211	360.700597162	130.388	267.639	
101	Spectrogram 1	1	362.234328088	362.801957706	137.251	617.629	
102	Spectrogram 1	1	366.149800547	366.601587386	68.625	631.354	
103	Spectrogram 1	1	367.435655398	367.968532183	102.938	308.815	
104	Spectrogram 1	1	369.636905571	370.285625135	116.663	809.780	
105	Spectrogram 1	1	374.606560806	375.303094573	150.976	562.729	
106	Spectrogram 1	1	377.837368146	378.323907820	123.526	624.492	
107	Spectrogram 1	1	382.030876760	382.681418023	123.526	583.316	
108	Spectrogram 1	1	383.073788404	383.386563908	116.663	274.502	
109	Spectrogram 1	1	385.432039348	386.138680302	116.663	658.804	
110	Spectrogram 1	1	386.944987207	388.022325055	75.488	336.265	?
