Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	8.502148679	9.033532971	165.617	343.065	0.5314	177.448	-60.31	
2	Spectrogram 1	1	11.507791082	13.533693697	283.916	414.044	2.0259	130.128	-50.31	
3	Spectrogram 1	1	13.799385844	14.247741340	721.619	1253.961	0.4484	532.342	-59.16	
4	Spectrogram 1	1	15.692442385	17.236777985	212.937	414.044	1.5443	201.107	-55.42	
5	Spectrogram 1	1	17.402835576	17.784768037	153.788	272.086	0.3819	118.298	-58.37	un
6	Spectrogram 1	1	17.566492851	18.629261436	733.194	981.620	1.0628	248.426	-53.06	
7	Spectrogram 1	1	20.123779759	21.136731066	238.401	384.788	1.0130	146.387	-52.91	
8	Spectrogram 1	1	20.771412627	21.452248751	727.750	840.677	0.6808	112.927	-55.02	
9	Spectrogram 1	1	22.080226733	22.636519664	673.378	907.597	0.5563	234.219	-58.35	
10	Spectrogram 1	1	24.454850290	25.775008141	217.489	330.415	1.3202	112.926	-53.29	
11	Spectrogram 1	1	25.762553822	26.148637722	598.094	665.013	0.3861	66.919	-53.11	
12	Spectrogram 1	1	27.933756829	29.361852115	204.941	351.328	1.4281	146.387	-53.22	
13	Spectrogram 1	1	29.785311264	30.532570425	656.648	727.750	0.7473	71.102	-55.04	
14	Spectrogram 1	1	32.392415449	32.716227752	267.678	351.328	0.3238	83.650	-54.84	
15	Spectrogram 1	1	35.456178010	36.900879055	175.664	288.591	1.4447	112.927	-53.31	
16	Spectrogram 1	1	38.030070676	38.279157063	577.181	748.663	0.2491	171.482	-51.41	un
17	Spectrogram 1	1	39.043033067	40.305070761	192.394	326.233	1.2620	133.839	-52.06	
18	Spectrogram 1	1	42.007161073	43.144655574	602.276	656.648	1.1375	54.372	-54.72	
19	Spectrogram 1	1	42.953689343	43.867006096	204.941	342.963	0.9133	138.022	-52.10	
20	Spectrogram 1	1	47.034563509	48.055817696	173.573	234.219	1.0213	60.646	-50.00	
21	Spectrogram 1	1	49.969631437	50.999188503	204.941	301.138	1.0296	96.197	-47.09	
22	Spectrogram 1	1	53.299086144	54.444883524	514.444	568.816	1.1458	54.372	-51.69	
23	Spectrogram 1	1	53.863681955	54.428277765	255.131	334.598	0.5646	79.467	-49.72	
24	Spectrogram 1	1	57.500354333	58.289127892	179.846	221.671	0.7888	41.825	-45.71	
25	Spectrogram 1	1	60.215395952	60.796597522	464.255	660.831	0.5812	196.576	-50.81	
26	Spectrogram 1	1	60.107458518	61.137015585	255.131	317.868	1.0296	62.737	-53.65	
27	Spectrogram 1	1	60.904534957	61.701611395	184.029	238.401	0.7971	54.372	-53.03	
28	Spectrogram 1	1	63.860368738	65.346584181	476.802	598.094	1.4862	121.292	-52.95	
29	Spectrogram 1	1	64.416661669	65.413007217	209.124	338.780	0.9963	129.656	-51.98	
30	Spectrogram 1	1	67.256257857	68.709261781	376.423	639.918	1.4530	263.495	-52.40	
31	Spectrogram 1	1	68.045031416	69.107800001	138.022	204.941	1.0628	66.919	-51.19	
32	Spectrogram 1	1	70.776678794	71.988899211	204.941	317.868	1.2122	112.927	-51.78	
33	Spectrogram 1	1	71.606966751	71.880961777	372.240	560.451	0.2740	188.211	-49.79	
34	Spectrogram 1	1	74.463157322	75.285142400	230.036	342.963	0.8220	112.927	-51.22	
35	Spectrogram 1	1	74.687335071	76.554943916	390.384	745.279	1.8676	354.895	-56.42	
36	Spectrogram 1	1	78.339734739	79.737038082	378.554	674.300	1.3973	295.746	-54.30	
37	Spectrogram 1	1	80.359366461	81.380924367	165.617	390.384	1.0216	224.767	-53.58	
38	Spectrogram 1	1	82.308545913	82.989584517	378.554	804.428	0.6810	425.874	-57.98	
39	Spectrogram 1	1	84.292951500	85.349735540	165.617	366.724	1.0568	201.107	-55.43	
40	Spectrogram 1	1	85.244057136	86.747038883	295.746	473.193	1.5030	177.447	-52.65	
41	Spectrogram 1	1	88.684479573	89.776489748	248.426	473.193	1.0920	224.767	-53.18	
42	Spectrogram 1	1	90.727595384	91.796121469	165.617	343.065	1.0685	177.448	-55.62	
43	Spectrogram 1	1	90.434044262	90.715853339	402.214	709.789	0.2818	307.575	-51.29	
44	Spectrogram 1	1	93.193424812	93.393039575	425.874	662.470	0.1996	236.596	-53.84	
45	Spectrogram 1	1	94.743374738	95.518349701	177.447	366.724	0.7750	189.277	-53.88	
46	Spectrogram 1	1	95.694480374	97.209204165	224.767	402.214	1.5147	177.447	-50.15	
47	Spectrogram 1	1	99.545877942	101.037117643	189.277	343.065	1.4912	153.788	-47.31	
49	Spectrogram 1	1	104.095920338	105.211414603	130.128	354.895	1.1155	224.767	-52.20	
50	Spectrogram 1	1	104.859153256	105.681096398	189.277	354.895	0.8219	165.618	-49.79	
51	Spectrogram 1	1	106.737887479	107.336731768	153.788	248.426	0.5988	94.638	-54.56	
52	Spectrogram 1	1	108.863197605	110.495341845	153.788	354.895	1.6321	201.107	-46.69	
53	Spectrogram 1	1	108.968876009	109.602946433	343.065	626.981	0.6341	283.916	-59.73	
54	Spectrogram 1	1	111.974839501	113.419111023	177.447	366.724	1.4443	189.277	-43.83	
55	Spectrogram 1	1	113.477821247	114.147117806	212.937	378.554	0.6693	165.617	-54.88	
56	Spectrogram 1	1	116.272427932	117.176565389	153.788	354.895	0.9041	201.107	-48.44	
57	Spectrogram 1	1	116.025844989	116.706883593	141.958	236.596	0.6810	94.638	-55.89	
58	Spectrogram 1	1	118.526900552	119.196197110	177.447	343.065	0.6693	165.618	-52.47	
59	Spectrogram 1	1	119.994656163	121.615058358	141.958	319.405	1.6204	177.447	-43.67	
60	Spectrogram 1	1	122.413526628	123.211985681	224.767	366.724	0.7985	141.957	-54.97	
61	Spectrogram 1	1	123.411600444	125.384263986	130.128	354.895	1.9727	224.767	-45.80	
62	Spectrogram 1	1	127.415637752	128.707262691	153.788	354.895	1.2916	201.107	-51.04	
63	Spectrogram 1	1	131.360964836	133.122271570	130.128	331.235	1.7613	201.107	-44.22	
64	Spectrogram 1	1	134.449122643	135.822941896	201.107	354.895	1.3738	153.788	-48.47	
65	Spectrogram 1	1	134.719189676	135.423712369	136.043	218.852	0.7045	82.809	-50.29	
66	Spectrogram 1	1	137.161539482	138.089161029	201.107	331.235	0.9276	130.128	-52.10	
67	Spectrogram 1	1	138.312259882	139.145945069	165.617	354.895	0.8337	189.278	-48.39	
68	Spectrogram 1	1	140.989446117	142.292813101	118.298	354.895	1.3034	236.597	-52.18	
69	Spectrogram 1	1	143.443532641	144.195023514	118.298	272.086	0.7515	153.788	-54.69	
70	Spectrogram 1	1	144.206765559	145.604068901	130.128	343.065	1.3973	212.937	-45.54	
