Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	18.700365806	19.764583311	487.241	706.842	
2	Spectrogram 1	1	20.169273030	20.650971480	514.691	603.904	
3	Spectrogram 1	1	29.632165470	30.752394423	452.928	631.354	un
4	Spectrogram 1	1	40.781279102	41.599046238	411.753	555.866	
5	Spectrogram 1	1	44.016323101	44.733269631	446.065	555.866	
6	Spectrogram 1	1	46.717892040	47.289208806	96.076	247.052	un
7	Spectrogram 1	1	52.597881217	54.401449831	343.127	494.103	un
8	Spectrogram 1	1	51.365629368	52.351430847	102.938	308.815	un
9	Spectrogram 1	1	52.665094954	52.978759061	96.076	219.601	un
10	Spectrogram 1	1	53.404446063	53.729312459	82.351	205.876	un
11	Spectrogram 1	1	54.087785724	54.681507070	123.526	315.677	un
12	Spectrogram 1	1	60.576456302	61.203784516	96.076	404.890	un
13	Spectrogram 1	1	61.909528756	62.223192863	89.213	226.464	un
14	Spectrogram 1	1	62.682486734	62.895330235	89.213	226.464	un
15	Spectrogram 1	1	64.404869951	64.897770691	130.388	398.028	
16	Spectrogram 1	1	72.605060391	73.109163420	96.076	432.340	
17	Spectrogram 1	1	67.837070449	68.273959741	116.663	308.815	un
18	Spectrogram 1	1	74.447203650	75.410600550	267.639	398.028	
19	Spectrogram 1	1	75.513535411	76.017638440	267.639	411.753	un
20	Spectrogram 1	1	76.689478538	77.294402173	185.289	370.577	
21	Spectrogram 1	1	77.783555891	78.086017709	288.227	384.303	
22	Spectrogram 1	1	78.086017709	78.646132185	267.639	384.303	
23	Spectrogram 1	1	80.498305434	80.912790146	109.801	233.327	un
24	Spectrogram 1	1	81.457552527	81.726407475	295.089	789.193	un
26	Spectrogram 1	1	78.391290842	78.794573265	466.653	535.279	un
27	Spectrogram 1	1	82.282259864	82.528710234	288.227	754.880	un
28	Spectrogram 1	1	86.639123481	86.941585298	219.601	329.402	
29	Spectrogram 1	1	86.011795267	86.303054795	75.488	576.454	un
30	Spectrogram 1	1	121.018726582	121.948516613	1200.946	1338.196	
31	Spectrogram 1	1	109.562994375	110.593605012	150.976	253.914	un
32	Spectrogram 1	1	135.632762240	136.293697323	1098.007	1221.533	un
33	Spectrogram 1	1	132.565554831	133.349715099	1070.557	1358.784	un
34	Spectrogram 1	1	193.059164224	193.630480990	507.828	590.179	
35	Spectrogram 1	1	197.183875072	197.867214733	452.928	583.316	
36	Spectrogram 1	1	201.551798889	201.988688181	480.378	583.316	
37	Spectrogram 1	1	200.876494668	201.358193118	8540.493	13742.430	d
38	Spectrogram 1	1	208.121793659	208.749121873	500.966	597.042	
39	Spectrogram 1	1	213.460408525	213.897297817	322.540	466.653	
