filename,begin_time,end_time,label,call_length
210827-081513_Tr2,8.301625739,8.888727984,w,0.5871022450000005
210904-111316_Tr2.txt,832.295428159,832.541110608,bg,0.24568244900001446
210828-080644_Tr1,1134.803138614,1137.528919936,w,2.725781321999875
210825-132034_Tr2,232.422778013,236.252715134,bg,3.8299371210000004
210825-112937_Tr2.txt,168.98663688,171.264575822,w,1.178818731000007
210825-135601_Tr1.Table.1.selections (1).txt,776.057319469,776.901033854,w,0.8437143849999984
210824-125439_Tr1.txt,744.055368933,744.220760074,bg,0.1653911410001001
210827-090209_Tr1,1138.687304004,1139.271651742,bg,0.5843477379999058
210904-111316_Tr2(first 4 minutes).txt,1174.000287609,1174.394153059,w,0.39386545000002116
210828-080644_Tr1,545.282659676,545.938866291,bg,0.6562066149999737
210824-115331_Tr1.txt,853.480592203,856.022915449,bg,2.5423232460000236
210827-081513_Tr2,755.70778036,757.187278017,w,1.4794976570000244
210828-080644_Tr1,622.311232846,623.093636521,bg,0.782403674999955
210828-080644_Tr1,101.564109598,102.831208769,w,0.6513960529999991
210827-081513_Tr2,1139.203130404,1139.60235993,bg,0.39922952599999917
210903-110841_Tr1,50.613799143,51.408186157,w,0.7943870140000016
210825-102141_Tr1.txt,587.33069688,588.064121123,bg,0.7334242429999449
210827-090209_Tr1,928.043131515,929.610245903,bg,1.5671143879999363
25-115438_Tr2,513.488961632,514.892868587,bg,1.4039069549999112
210824-115331_Tr1.txt,1152.586090519,1152.956710532,w,0.370620013000007
210904-111316_Tr2(first 4 minutes).txt,993.113122993,994.128846857,w,1.0157238639999377
210824-104507_Tr1.txt,1007.722229277,1008.221624248,w,0.4993949710000152
210903-110841_Tr2,612.668303147,616.799246748,bg,4.130943601000013
210826-083608_Tr1,345.43511386,345.901533541,bg,0.46641968099999076
210825-132034_Tr1,1109.615018646,1113.196506592,bg,3.581487946000152
210824-104507_Tr1.txt,895.477039855,895.760553634,bg,0.28351377899991803
210827-090209_Tr1,14.546709297,15.625981173,w,1.079271876
210827-081513_Tr1,155.044676139,156.101460179,w,1.0567840399999966
210904-074321_Tr1,127.072874936,127.885947128,w,0.8130721919999928
210827-081513_Tr1,615.081585343,615.633461453,w,0.5518761099999665
210824-100209_Tr1.txt,195.371110732,196.108167033,w,0.3924585499999864
210825-135601_Tr1.Table.1.selections (1).txt,918.084060617,919.925716749,bg,1.8416561320000255
210827-081513_Tr1,979.162553551,982.367465065,w,3.2049115140000595
210825-135601_Tr1.Table.1.selections (1).txt,868.032249499,870.227721342,bg,2.1954718429999502
210827-090209_Tr1,1314.065500389,1314.915460735,w,0.8499603459999889
210825-112937_Tr1.txt,167.848529172,168.668094556,w,0.8195653839999864
210824-104507_Tr1.txt,263.178103191,263.980117199,w,0.8020140080000147
210825-112937_Tr2.txt,70.7586481,74.144648597,w,0.48724507599999356
210904-111316_Tr2.txt,958.1008904,959.051083692,w,0.9501932919999945
210824-104507_Tr1.txt,922.516393841,924.082293328,bg,1.5658994870000242
210825-102141_Tr1.txt,732.860313278,733.440940804,w,0.5806275259999438
210825-135601_Tr1.Table.1.selections (1).txt,674.738211687,677.060694298,bg,2.322482611000055
210824-095226_Tr2.txt,348.550307787,349.15675708,w,0.6064492929999687
210825-112937_Tr2.txt,6.510622056,6.542057222,bg,0.031435166000000514
210824-125439_Tr1.txt,636.960136661,637.993831295,w,1.0336946339999713
210904-074321_Tr1,1028.644817672,1028.969801648,w,0.32498397599988493
210904-074321_Tr1,1184.112792968,1184.326063702,w,0.2132707340001616
210828-080644_Tr1,1208.901977262,1211.27441656,w,1.3376519450000615
210827-081513_Tr2,993.061613103,993.249485821,w,0.18787271799999417
210827-081513_Tr2,79.840562738,80.388552789,bg,0.5479900509999993
210904-074321_Tr1,1209.502148405,1210.273985347,bg,0.7718369419999362
210904-111316_Tr2(first 4 minutes)(1).txt,1157.486911948,1158.610586908,w,1.1236749600000167
210824-104507_Tr1.txt,496.620831604,497.408530731,bg,0.7876991269999962
210825-135601_Tr1,973.574281616,974.064180291,bg,0.48989867499994944
210825-135601_Tr1.txt,1256.351390755,1256.532834709,bg,0.18144395400008761
210825-132034_Tr2,280.242131009,281.075854592,w,0.833723582999994
210825-135601_Tr1.txt,445.073239515,445.363549841,w,0.2903103259999966
210825-135601_Tr1.Table.1.selections (1).txt,566.643994932,568.186268541,w,1.542273608999949
210825-132034_Tr2,311.697890129,312.866915587,w,1.1690254580000214
210826-083608_Tr1,1012.420126526,1015.132182776,bg,2.712056250000046
210825-135601_Tr1.Table.1.selections (1).txt,475.569928207,475.71508337,bg,0.14515516300002673
210824-125439_Tr1.txt,842.623759039,842.637541634,bg,0.01378259499995238
210903-110841_Tr1,90.321317709,90.994655273,bg,0.6733375640000077
