filename,begin_time,end_time,label,call_length
180913_081527 (1),60.937415812,62.137649686,bg,1.2002338740000056
180913_081527 (1),63.434384776,64.068320787,bg,0.633936011000003
180913_081527 (1),65.576152287,66.978572025,bg,1.402419738000006
180913_081527 (1),68.263244463,68.32958905,bg,0.06634458699998902
180913_081527 (1),69.511728946,71.27116714,bg,1.7594381939999977
180913_081527 (1),72.754873336,74.972094721,bg,2.217221385000002
180913_081527 (1),76.172328596,77.05994139,bg,0.887612794000006
180913_081527 (1),78.061141506,80.034603771,bg,1.9734622649999949
180913_081527 (1),81.65099914,82.201279259,bg,0.5502801190000071
180913_081527 (1),83.570390261,84.318813904,bg,0.7484236429999953
180913_081527 (1),85.368264628,85.78886909,bg,0.420604462
180913_081527 (1),87.194168048,87.866676889,bg,0.6725088410000097
180913_081527 (1),88.632655291,89.236468725,bg,0.6038134339999885
180913_081527 (1),90.315512883,90.665329791,bg,0.3498169080000082
180913_081527 (1),91.588122669,95.512035118,bg,3.9239124489999995
180913_081527 (1),96.066917111,96.097073741,bg,0.030156630000007567
180913_081527 (1),97.496341373,97.641802314,bg,0.14546094099999607
180913_081527 (1),97.983903782,100.138800877,bg,2.1548970949999955
180913_081527 (1),101.429504641,103.048350908,bg,1.6188462670000092
180913_081527 (1),105.102032569,105.397567543,bg,0.29553497399999173
180913_081527 (1),106.483206223,106.832821611,bg,0.3496153880000037
180913_081527 (1),108.117494049,109.328816015,bg,1.2113219659999999
180913_081527 (1),110.932377625,111.631803434,bg,0.6994258090000045
180913_081527 (1),113.491252534,115.759152255,bg,2.2678997210000063
180913_081527 (1),116.987412211,118.539796323,bg,1.5523841119999986
180913_081527 (1),120.228653763,120.627819593,bg,0.39916583000000116
180913_081527 (1),121.276067903,121.890197881,bg,0.6141299780000082
180913_081527 (1),123.834942812,124.346717794,bg,0.5117749820000057
180913_081527 (1),125.199676097,128.943188536,bg,3.743512439000014
180913_081527 (1),131.246175954,133.159997113,bg,1.9138211590000083
180913_081527 (1),133.99639103,135.412043389,bg,1.4156523589999779
180913_081527 (1),136.0602917,136.265001692,bg,0.20470999200000506
